0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
551,,7,33,26,59,Fe,-60664.957,0.33,8754.7746,0.0056,1564.8804,0.369,58934873.49,0.354,0
552,,5,32,27,59,Co,-62229.838,0.397,8768.0379,0.0067,-1073.005,0.1944,58933193.52,0.426,0
553,,3,31,28,59,Ni,-61156.833,0.351,8736.5912,0.006,-4798.3786,0.3973,58934345.44,0.376,0
554,,1,30,29,59,Cu,-56358.454,0.528,8642.0027,0.009,-9142.776,0.6018,58939496.71,0.566,0
555,,-1,29,30,59,Zn,-47215.678,0.759,8473.7802,0.0129,-13456,170,58949311.89,0.814,0
556,,-3,28,31,59,Ga,-33760,170,8232,3,-17390,434,58963757,183,1
557,,-5,27,32,59,Ge,-16370,400,7924,7,,,58982426,429,1
558,0,20,40,20,60,Ca,11000,700,7627,12,15550,860,60011809,751,1
559,,18,39,21,60,Sc,-4550,500,7873,8,17549,555,59995115,537,1
560,,16,38,22,60,Ti,-22099.698,240.325,8152.7858,4.0054,10987.704,301.4311,59976275,258,0
561,,14,37,23,60,V,-33087.402,181.946,8322.8751,3.0324,13821.0986,181.9496,59964479.22,195.327,0
562,,12,36,24,60,Cr,-46908.5,1.118,8540.1876,0.0186,6059.4457,2.5831,59949641.66,1.2,0
563,,10,35,25,60,Mn,-52967.946,2.329,8628.1392,0.0388,8445.2283,4.1261,59943136.57,2.5,0
564,,8,34,26,60,Fe,-61413.174,3.406,8755.8539,0.0568,237.2633,3.4106,59934070.25,3.656,0
565,,6,33,27,60,Co,-61650.437,0.403,8746.7692,0.0067,2822.8058,0.2124,59933815.54,0.433,0
566,,4,32,28,60,Ni,-64473.243,0.353,8780.7769,0.0059,-6127.981,1.5735,59930785.13,0.378,0
567,,2,31,29,60,Cu,-58345.262,1.613,8665.6047,0.0269,-4170.7922,1.6286,59937363.79,1.731,0
568,,0,30,30,60,Zn,-54174.47,0.548,8583.0524,0.0091,-14584,200,59941841.32,0.588,0
569,,-2,29,31,60,Ga,-39590,200,8327,3,-12060,361,59957498,215,1
570,,-4,28,32,60,Ge,-27530,300,8113,5,-21890,500,59970445,322,1
571,,-6,27,33,60,As,-5640,400,7735,7,,,59993945,429,1
572,0,21,41,20,61,Ca,19010,800,7503,13,18510,1000,61020408,859,1
573,,19,40,21,61,Sc,500,600,7794,10,16870,671,61000537,644,1
574,,17,39,22,61,Ti,-16370,300,8058,5,13807,381,60982426,322,1
575,,15,38,23,61,V,-30177.121,234.92,8271.0417,3.8511,12319.3807,234.9272,60967603.53,252.196,0
576,,13,37,24,61,Cr,-42496.502,1.863,8460.1734,0.0305,9245.6277,2.9822,60954378.13,2,0
577,,11,36,25,61,Mn,-51742.13,2.329,8598.9157,0.0382,7178.373,3.4965,60944452.54,2.5,0
578,,9,35,26,61,Fe,-58920.503,2.608,8703.7686,0.0428,3977.6759,2.7399,60936746.24,2.8,0
579,,7,34,27,61,Co,-62898.179,0.839,8756.151,0.0138,1323.8504,0.7899,60932476.03,0.901,0
580,,5,33,28,61,Ni,-64222.029,0.355,8765.0281,0.0058,-2237.9663,0.9617,60931054.82,0.381,0
581,,3,32,29,61,Cu,-61984.063,0.951,8715.5148,0.0156,-5635.1565,15.9028,60933457.38,1.02,0
582,,1,31,30,61,Zn,-56348.906,15.899,8610.3098,0.2606,-9214.2438,37.6786,60939506.96,17.068,0
583,,-1,30,31,61,Ga,-47134.662,37.994,8446.4313,0.6228,-13345,302,60949398.86,40.787,0
584,,-3,29,32,61,Ge,-33790,300,8215,5,-16590,424,60963725,322,1
585,,-5,28,33,61,As,-17200,300,7930,5,,,60981535,322,1
586,0,20,41,21,62,Sc,7310,600,7688,10,19510,721,62007848,644,1
587,,18,40,22,62,Ti,-12200,400,7990,6,13013,479,61986903,429,1
588,,16,39,23,62,V,-25213.164,264.287,8187.7565,4.2627,15639.4478,264.3094,61972932.56,283.723,0
589,,14,38,24,62,Cr,-40852.611,3.447,8427.3871,0.0556,7671.3532,7.3947,61956142.92,3.7,0
590,,12,37,25,62,Mn,-48523.965,6.542,8538.5002,0.1055,10354.092,7.1142,61947907.38,7.023,0
591,,10,36,26,62,Fe,-58878.057,2.794,8692.8831,0.0451,2546.3427,18.7834,61936791.81,3,0
592,,8,35,27,62,Co,-61424.399,18.574,8721.3347,0.2996,5322.0404,18.5695,61934058.2,19.94,0
593,,6,34,28,62,Ni,-66746.44,0.425,8794.5555,0.0069,-3958.8965,0.4751,61928344.75,0.455,0
594,,4,33,29,62,Cu,-62787.543,0.637,8718.0839,0.0103,-1619.4548,0.6507,61932594.8,0.683,0
595,,2,32,30,62,Zn,-61168.088,0.615,8679.3451,0.0099,-9181.0666,0.3763,61934333.36,0.66,0
596,,0,31,31,62,Ga,-51987.022,0.637,8518.6449,0.0103,-9847,140,61944189.64,0.684,0
597,,-2,30,32,62,Ge,-42140,140,8347,2,-17720,331,61954761,150,1
598,,-4,29,33,62,As,-24420,300,8049,5,,,61973784,322,1
599,0,21,42,21,63,Sc,13070,700,7603,11,18930,860,63014031,751,1
600,,19,41,22,63,Ti,-5860,500,7891,8,15880,605,62993709,537,1
601,,17,40,23,63,V,-21740.141,339.995,8130.7809,5.3968,14438.1586,347.672,62976661,365,0
602,,15,39,24,63,Cr,-36178.299,72.657,8347.5398,1.1533,10708.7611,72.752,62961161,78,0
603,,13,38,25,63,Mn,-46887.061,3.726,8505.102,0.0591,8748.5685,5.6915,62949664.67,4,0
604,,11,37,26,63,Fe,-55635.629,4.302,8631.5499,0.0683,6215.9238,19.0668,62940272.7,4.618,0
605,,9,36,27,63,Co,-61851.553,18.575,8717.7972,0.2948,3661.3385,18.5704,62933599.63,19.941,0
606,,7,35,28,63,Ni,-65512.891,0.426,8763.4955,0.0068,66.9768,0.0149,62929669.02,0.457,0
607,,5,34,29,63,Cu,-65579.868,0.426,8752.1404,0.0068,-3366.4392,1.545,62929597.12,0.457,0
608,,3,33,30,63,Zn,-62213.429,1.56,8686.2866,0.0248,-5666.3294,2.033,62933211.14,1.674,0
609,,1,32,31,63,Ga,-56547.1,1.304,8583.9267,0.0207,-9625.8787,37.2826,62939294.19,1.4,0
610,,-1,31,32,63,Ge,-46921.221,37.26,8418.7167,0.5914,-13421,204,62949628,40,0
611,,-3,30,33,63,As,-33500,200,8193,3,-16650,539,62964036,215,1
612,,-5,29,34,63,Se,-16850,500,7917,8,,,62981911,537,1
613,0,20,42,22,64,Ti,-1480,600,7826,9,14840,721,63998411,644,1
614,,18,41,23,64,V,-16320,400,8045,6,17320,500,63982480,429,1
615,,16,40,24,64,Cr,-33639.978,299.941,8303.5626,4.6866,9349.0622,299.962,63963886,322,0
616,,14,39,25,64,Mn,-42989.04,3.54,8437.4175,0.0553,11980.5117,6.1402,63953849.37,3.8,0
617,,12,38,26,64,Fe,-54969.552,5.017,8612.3888,0.0784,4822.8898,20.6249,63940987.76,5.386,0
618,,10,37,27,64,Co,-59792.442,20.005,8675.5223,0.3126,7306.5921,20,63935810.18,21.476,0
619,,8,36,28,64,Ni,-67099.034,0.463,8777.4637,0.0072,-1674.6156,0.2055,63927966.23,0.497,0
620,,6,35,29,64,Cu,-65424.418,0.427,8739.0736,0.0067,579.5996,0.6447,63929764,0.458,0
621,,4,34,30,64,Zn,-66004.018,0.644,8735.9057,0.0101,-7171.1912,1.4825,63929141.78,0.69,0
622,,2,33,31,64,Ga,-58832.827,1.429,8611.6317,0.0223,-4517.3237,3.9905,63936840.37,1.533,0
623,,0,32,32,64,Ge,-54315.503,3.726,8528.8243,0.0582,-14783,203,63941689.91,4,0
624,,-2,31,33,64,As,-39532,203,8286,3,-12673,540,63957560,218,1
625,,-4,30,34,64,Se,-26860,500,8075,8,,,63971165,537,1
626,0,21,43,22,65,Ti,5210,700,7726,11,17320,860,65005593,751,1
627,,19,42,23,65,V,-12110,500,7981,8,16200,539,64986999,537,1
628,,17,41,24,65,Cr,-28310,200,8218,3,12657,200,64969608,215,1
629,,15,40,25,65,Mn,-40967.344,3.726,8400.6822,0.0573,10250.5576,6.3257,64956019.75,4,0
630,,13,39,26,65,Fe,-51217.902,5.112,8546.347,0.0786,7967.3036,5.5198,64945015.32,5.487,0
631,,11,38,27,65,Co,-59185.205,2.083,8656.8848,0.032,5940.5911,2.1379,64936462.07,2.235,0
632,,9,37,28,65,Ni,-65125.796,0.483,8736.2424,0.0074,2137.8808,0.6997,64930084.59,0.518,0
633,,7,36,29,65,Cu,-67263.677,0.643,8757.0967,0.0099,-1351.6527,0.3557,64927789.48,0.69,0
634,,5,35,30,65,Zn,-65912.024,0.646,8724.266,0.0099,-3254.538,0.6305,64929240.53,0.693,0
635,,3,34,31,65,Ga,-62657.486,0.791,8662.1601,0.0122,-6179.2631,2.3046,64932734.42,0.849,0
636,,1,33,32,65,Ge,-56478.223,2.165,8555.0584,0.0333,-9541.167,84.7936,64939368.14,2.323,0
637,,-1,32,33,65,As,-46937.056,84.766,8396.2351,1.3041,-13917,312,64949611,91,0
638,,-3,31,34,65,Se,-33020,300,8170,5,-16529,583,64964552,322,1
639,,-5,30,35,65,Br,-16490,500,7904,8,,,64982297,537,1
640,0,20,43,23,66,V,-6300,500,7894,8,18840,583,65993237,537,1
641,,18,42,24,66,Cr,-25140,300,8168,5,11610,300,65973011,322,1
642,,16,41,25,66,Mn,-36750.392,11.178,8331.7986,0.1694,13317.4543,11.9056,65960546.83,12,0
643,,14,40,26,66,Fe,-50067.847,4.099,8521.7245,0.0621,6340.6944,14.5611,65946249.96,4.4,0
644,,12,39,27,66,Co,-56408.541,13.972,8605.9419,0.2117,9597.7522,14.0421,65939442.94,15,0
645,,10,38,28,66,Ni,-66006.293,1.397,8739.5086,0.0212,251.9958,1.5405,65929139.33,1.5,0
646,,8,37,29,66,Cu,-66258.289,0.649,8731.473,0.0098,2640.9396,0.9255,65928868.8,0.696,0
647,,6,36,30,66,Zn,-68899.229,0.744,8759.6335,0.0113,-5175.5,0.8,65926033.64,0.798,0
648,,4,35,31,66,Ga,-63723.729,1.092,8669.3631,0.0166,-2116.6879,2.6376,65931589.77,1.172,0
649,,2,34,32,66,Ge,-61607.041,2.401,8625.4383,0.0364,-9581.957,6.1685,65933862.12,2.577,0
650,,0,33,33,66,As,-52025.084,5.682,8468.4034,0.0861,-10365,200,65944148.78,6.1,0
651,,-2,32,34,66,Se,-41660,200,8300,3,-18091,447,65955276,215,1
652,,-4,31,35,66,Br,-23570,400,8014,6,,,65974697,429,1
653,0,21,44,23,67,V,-1744,600,7829,9,17526,721,66998128,644,1
654,,19,43,24,67,Cr,-19270,400,8079,6,14311,447,66979313,429,1
655,,17,42,25,67,Mn,-33580,200,8281,3,12128,200,66963950,215,1
656,,15,41,26,67,Fe,-45708.416,3.819,8449.9359,0.057,9613.3678,7.49,66950930,4.1,0
657,,13,40,27,67,Co,-55321.783,6.443,8581.7422,0.0962,8420.9047,7.0607,66940609.63,6.917,0
658,,11,39,28,67,Ni,-63742.688,2.888,8695.7505,0.0431,3576.8654,3.0223,66931569.41,3.1,0
659,,9,38,29,67,Cu,-67319.553,0.892,8737.4597,0.0133,560.8226,0.8296,66927729.49,0.957,0
660,,7,37,30,67,Zn,-67880.376,0.755,8734.1534,0.0113,-1001.2201,1.1196,66927127.42,0.81,0
661,,5,36,31,67,Ga,-66879.156,1.176,8707.533,0.0176,-4205.438,4.4066,66928202.28,1.262,0
662,,3,35,32,67,Ge,-62673.718,4.319,8633.0884,0.0645,-6086.4858,4.3418,66932717,4.636,0
663,,1,34,33,67,As,-56587.232,0.443,8530.5685,0.0066,-10006.9381,67.069,66939251.11,0.475,0
664,,-1,33,34,67,Se,-46580.294,67.068,8369.5344,1.001,-14051,307,66949994,72,0
665,,-3,32,35,67,Br,-32530,300,8148,4,-16978,520,66965078,322,1
666,,-5,31,36,67,Kr,-15552,424,7883,6,,,66983305,455,1
667,0,20,44,24,68,Cr,-15690,500,8026,7,13230,583,67983156,537,1
668,,18,43,25,68,Mn,-28920,300,8209,4,14977,356,67968953,322,1
669,,16,42,26,68,Fe,-43897,193,8418,3,7746,193,67952875,207,1
670,,14,41,27,68,Co,-51642.591,3.859,8520.1301,0.0567,11821.2318,4.876,67944559.4,4.142,0
671,,12,40,28,68,Ni,-63463.822,2.981,8682.4667,0.0438,2103.2205,3.3753,67931868.79,3.2,0
672,,10,39,29,68,Cu,-65567.043,1.584,8701.8913,0.0233,4440.1115,1.7645,67929610.89,1.7,0
673,,8,38,30,68,Zn,-70007.154,0.778,8755.682,0.0115,-2921.1,1.2,67924844.23,0.835,0
674,,6,37,31,68,Ga,-67086.054,1.43,8701.2195,0.021,-107.2555,2.3594,67927980.16,1.535,0
675,,4,36,32,68,Ge,-66978.799,1.876,8688.1371,0.0276,-8084.2715,2.632,67928095.31,2.014,0
676,,2,35,33,68,As,-58894.527,1.846,8557.7457,0.0271,-4705.0786,1.9112,67936774.13,1.981,0
677,,0,34,34,68,Se,-54189.449,0.496,8477.0482,0.0073,-15398,259,67941825.24,0.532,0
678,,-2,33,35,68,Br,-38791,259,8239,4,-13165,563,67958356,278,1
679,,-4,32,36,68,Kr,-25626,500,8034,7,,,67972489,537,1
680,0,21,45,24,69,Cr,-9630,500,7939,7,15730,640,68989662,537,1
681,,19,44,25,69,Mn,-25360,400,8155,6,13839,447,68972775,429,1
682,,17,43,26,69,Fe,-39199,200,8345,3,11186,218,68957918,215,1
683,,15,42,27,69,Co,-50385.447,85.697,8495.4062,1.242,9593.2084,85.7784,68945909,92,0
684,,13,41,28,69,Ni,-59978.656,3.726,8623.0998,0.054,5757.565,3.9793,68935610.27,4,0
685,,11,40,29,69,Cu,-65736.221,1.397,8695.2044,0.0203,2681.6854,1.6075,68929429.27,1.5,0
686,,9,39,30,69,Zn,-68417.906,0.795,8722.7311,0.0115,909.9134,1.4234,68926550.36,0.853,0
687,,7,38,31,69,Ga,-69327.82,1.197,8724.5798,0.0174,-2227.1455,0.55,68925573.53,1.285,0
688,,5,37,32,69,Ge,-67100.674,1.318,8680.964,0.0191,-3988.4927,31.9822,68927964.47,1.414,0
689,,3,36,33,69,As,-63112.181,31.999,8611.8214,0.4638,-6677.4672,32.0215,68932246.29,34.352,0
690,,1,35,34,69,Se,-56434.714,1.49,8503.7082,0.0216,-10175.2364,42.0293,68939414.85,1.599,0
691,,-1,34,35,69,Br,-46259.478,42.003,8344.9026,0.6087,-14119,303,68950338.41,45.091,0
692,,-3,33,36,69,Kr,-32140,300,8129,4,,,68965496,322,1
693,0,22,46,24,70,Cr,-5640,600,7884,9,14810,781,69993945,644,1
694,,20,45,25,70,Mn,-20450,500,8084,7,16440,583,69978046,537,1
695,,18,44,26,70,Fe,-36890,300,8308,4,9635,300,69960397,322,1
696,,16,43,27,70,Co,-46524.963,10.992,8434.198,0.157,12688.9049,11.1987,69950053.4,11.8,0
697,,14,42,28,70,Ni,-59213.868,2.144,8604.2917,0.0306,3762.5123,2.4011,69936431.3,2.301,0
698,,12,41,29,70,Cu,-62976.381,1.082,8646.8655,0.0155,6588.3675,2.2018,69932392.08,1.161,0
699,,10,40,30,70,Zn,-69564.748,1.918,8729.8086,0.0274,-654.5979,1.5737,69925319.18,2.058,0
700,,8,39,31,70,Ga,-68910.15,1.201,8709.2808,0.0172,1651.8861,1.452,69926021.91,1.289,0
701,,6,38,32,70,Ge,-70562.036,0.82,8721.7028,0.0117,-6228.063,1.62,69924248.54,0.88,0
702,,4,37,33,70,As,-64333.973,1.397,8621.5541,0.02,-2404.0737,2.1118,69930934.64,1.5,0
703,,2,36,34,70,Se,-61929.9,1.584,8576.0338,0.0226,-10504.2727,14.9878,69933515.52,1.7,0
704,,0,35,35,70,Br,-51425.627,14.904,8414.7964,0.2129,-10325,201,69944792.32,16,0
705,,-2,34,36,70,Kr,-41100,200,8256,3,,,69955877,215,1
706,0,21,46,25,71,Mn,-16620,500,8030,7,15310,640,70982158,537,1
707,,19,45,26,71,Fe,-31930,400,8235,6,12440,613,70965722,429,1
708,,17,44,27,71,Co,-44369.93,465.03,8398.7344,6.5497,11036.3053,465.0353,70952366.92,499.23,0
709,,15,43,28,71,Ni,-55406.236,2.237,8543.1564,0.0315,7304.8989,2.6879,70940518.96,2.401,0
710,,13,42,29,71,Cu,-62711.134,1.49,8635.0233,0.021,4617.6517,3.0437,70932676.83,1.6,0
711,,11,41,30,71,Zn,-67328.786,2.654,8689.0417,0.0374,2810.3405,2.7748,70927719.58,2.849,0
712,,9,40,31,71,Ga,-70139.127,0.811,8717.605,0.0114,-232.4698,0.0934,70924702.55,0.87,0
713,,7,39,32,71,Ge,-69906.657,0.815,8703.3118,0.0115,-2013.4,4.0825,70924952.12,0.874,0
714,,5,38,33,71,As,-67893.257,4.163,8663.935,0.0586,-4746.742,5.014,70927113.59,4.469,0
715,,3,37,34,71,Se,-63146.515,2.794,8586.0606,0.0394,-6644.0883,6.082,70932209.43,3,0
716,,1,36,35,71,Br,-56502.426,5.402,8481.4629,0.0761,-10175.2155,128.8452,70939342.15,5.799,0
717,,-1,35,36,71,Kr,-46327.211,128.769,8327.131,1.8136,-14037,420,70950265.7,138.238,0
718,,-3,34,37,71,Rb,-32290,400,8118,6,,,70965335,429,1
719,0,22,47,25,72,Mn,-11170,600,7955,8,18080,781,71988009,644,1
720,,20,46,26,72,Fe,-29250,500,8195,7,11050,583,71968599,537,1
721,,18,45,27,72,Co,-40300,300,8338,4,13926,300,71956736,322,1
722,,16,44,28,72,Ni,-54226.068,2.237,8520.2118,0.0311,5556.9381,2.6374,71941785.92,2.401,0
723,,14,43,29,72,Cu,-59783.006,1.397,8586.5256,0.0194,8362.4883,2.5578,71935820.31,1.5,0
724,,12,42,30,72,Zn,-68145.495,2.142,8691.8053,0.0298,442.7892,2.2934,71926842.81,2.3,0
725,,10,41,31,72,Ga,-68588.284,0.818,8687.0893,0.0114,3997.6263,0.8217,71926367.45,0.878,0
726,,8,40,32,72,Ge,-72585.91,0.076,8731.7459,0.0011,-4356.1019,4.0825,71922075.82,0.081,0
727,,6,39,33,72,As,-68229.808,4.083,8660.3786,0.0567,-361.6194,4.5276,71926752.29,4.383,0
728,,4,38,34,72,Se,-67868.189,1.956,8644.4902,0.0272,-8806.4384,2.2083,71927140.51,2.1,0
729,,2,37,35,72,Br,-59061.75,1.025,8511.3126,0.0142,-5121.1683,8.0761,71936594.61,1.1,0
730,,0,36,36,72,Kr,-53940.582,8.011,8429.3193,0.1113,-15611,500,71942092.41,8.6,0
731,,-2,35,37,72,Rb,-38330,500,8202,7,,,71958851,537,1
732,0,23,48,25,73,Mn,-6700,600,7895,8,17289,781,72992807,644,1
733,,21,47,26,73,Fe,-23990,500,8121,7,13980,583,72974246,537,1
734,,19,46,27,73,Co,-37970,300,8302,4,12139,300,72959238,322,1
735,,17,45,28,73,Ni,-50108.159,2.423,8457.6529,0.0332,8879.2856,3.1038,72946206.68,2.601,0
736,,15,44,29,73,Cu,-58987.445,1.942,8568.5699,0.0266,6605.9659,2.691,72936674.38,2.084,0
737,,13,43,30,73,Zn,-65593.411,1.863,8648.3455,0.0255,4105.9329,2.5064,72929582.58,2,0
738,,11,42,31,73,Ga,-69699.343,1.677,8693.874,0.023,1598.1889,1.6777,72925174.68,1.8,0
739,,9,41,32,73,Ge,-71297.532,0.057,8705.05,0.0008,-344.7759,3.8528,72923458.95,0.061,0
740,,7,40,33,73,As,-70952.757,3.853,8689.6099,0.0528,-2725.3604,7.3993,72923829.09,4.136,0
741,,5,39,34,73,Se,-68227.396,7.424,8641.5591,0.1017,-4581.6095,10.0278,72926754.88,7.969,0
742,,3,38,35,73,Br,-63645.787,6.741,8568.0803,0.0923,-7094.0287,9.4187,72931673.44,7.237,0
743,,1,37,36,73,Kr,-56551.758,6.578,8460.1847,0.0901,-10540.1468,41.3212,72939289.19,7.061,0
744,,-1,36,37,73,Rb,-46011.611,40.794,8305.0821,0.5588,-14061,403,72950604.51,43.794,0
745,,-3,35,38,73,Sr,-31950,401,8102,5,,,72965700,430,1
746,0,22,48,26,74,Fe,-20660,500,8076,7,12881,640,73977821,537,1
747,,20,47,27,74,Co,-33540,400,8239,5,15160,447,73963993,429,1
748,,18,46,28,74,Ni,-48700,200,8433,3,7306,200,73947718,215,1
749,,16,45,29,74,Cu,-56006.213,6.148,8521.5633,0.0831,9750.5077,6.6424,73939874.86,6.6,0
750,,14,44,30,74,Zn,-65756.72,2.515,8642.7547,0.034,2292.9057,3.9102,73929407.26,2.7,0
751,,12,43,31,74,Ga,-68049.626,2.994,8663.1676,0.0405,5372.8249,2.9941,73926945.73,3.214,0
752,,10,42,32,74,Ge,-73422.451,0.013,8725.2011,0.0003,-2562.3871,1.6931,73921177.76,0.013,0
753,,8,41,33,74,As,-70860.064,1.693,8680.002,0.0229,1353.1467,1.6931,73923928.6,1.817,0
754,,6,40,34,74,Se,-72213.21,0.015,8687.7155,0.0003,-6925.0492,5.8354,73922475.93,0.015,0
755,,4,39,35,74,Br,-65288.161,5.835,8583.5615,0.0789,-2956.3173,6.173,73929910.28,6.264,0
756,,2,38,36,74,Kr,-62331.844,2.013,8533.039,0.0272,-10415.828,3.424,73933084.02,2.161,0
757,,0,37,37,74,Rb,-51916.016,3.027,8381.7123,0.0409,-11089,100,73944265.87,3.249,0
758,,-2,36,38,74,Sr,-40827,100,8221,1,,,73956170,107,1
759,0,23,49,26,75,Fe,-14700,600,7996,8,15861,721,74984219,644,1
760,,21,48,27,75,Co,-30560,400,8197,5,13680,447,74967192,429,1
761,,19,47,28,75,Ni,-44240,200,8369,3,10230,200,74952506,215,1
762,,17,46,29,75,Cu,-54470.219,0.718,8495.0801,0.0096,8088.6967,2.0837,74941523.82,0.77,0
763,,15,45,30,75,Zn,-62558.916,1.956,8592.4981,0.0261,5901.7231,2.0679,74932840.24,2.1,0
764,,13,44,31,75,Ga,-68460.639,0.671,8660.7565,0.0089,3396.3337,0.6727,74926504.48,0.72,0
765,,11,43,32,75,Ge,-71856.973,0.052,8695.6096,0.0007,1177.2301,0.8851,74922858.37,0.055,0
766,,9,42,33,75,As,-73034.203,0.884,8700.8748,0.0118,-864.7139,0.8816,74921594.56,0.948,0
767,,7,41,34,75,Se,-72169.489,0.073,8678.9139,0.001,-3062.4694,4.2855,74922522.87,0.078,0
768,,5,40,35,75,Br,-69107.02,4.285,8627.6497,0.0571,-4783.388,9.1671,74925810.57,4.6,0
769,,3,39,36,75,Kr,-64323.632,8.104,8553.4399,0.1081,-7104.9299,8.1895,74930945.74,8.7,0
770,,1,38,37,75,Rb,-57218.702,1.18,8448.2762,0.0157,-10600,220,74938573.2,1.266,0
771,,-1,37,38,75,Sr,-46618.702,220.003,8296.5116,2.9334,-14799,372,74949952.77,236.183,0
772,,-3,36,39,75,Y,-31820,300,8089,4,,,74965840,322,1
773,0,24,50,26,76,Fe,-10590,600,7943,8,15070,781,75988631,644,1
774,,22,49,27,76,Co,-25660,500,8131,7,16530,583,75972453,537,1
775,,20,48,28,76,Ni,-42190,300,8338,4,8791,300,75954707,322,1
776,,18,47,29,76,Cu,-50981.627,0.913,8443.6018,0.012,11321.3964,1.7183,75945268.97,0.98,0
777,,16,46,30,76,Zn,-62303.024,1.456,8582.2735,0.0192,3993.6241,2.4384,75933114.96,1.562,0
778,,14,45,31,76,Ga,-66296.648,1.956,8624.5272,0.0257,6916.2501,1.9562,75928827.62,2.1,0
779,,12,44,32,76,Ge,-73212.898,0.018,8705.2364,0.0003,-921.5145,0.8864,75921402.73,0.019,0
780,,10,43,33,76,As,-72291.384,0.886,8682.8172,0.0117,2960.5756,0.8864,75922392.01,0.951,0
781,,8,42,34,76,Se,-75251.959,0.016,8711.4781,0.0003,-4962.881,9.3218,75919213.7,0.017,0
782,,6,41,35,76,Br,-70289.078,9.322,8635.883,0.1227,-1275.3724,10.149,75924541.57,10.007,0
783,,4,40,36,76,Kr,-69013.706,4.013,8608.8077,0.0528,-8534.6172,4.1214,75925910.74,4.308,0
784,,2,39,37,76,Rb,-60479.089,0.938,8486.2161,0.0123,-6231.4432,34.478,75935073.03,1.006,0
785,,0,38,38,76,Sr,-54247.645,34.465,8393.9294,0.4535,-15998,302,75941762.76,37,0
786,,-2,37,39,76,Y,-38250,300,8173,4,,,75958937,322,1
787,0,23,50,27,77,Co,-21910,600,8082,8,15440,721,76976479,644,1
788,,21,49,28,77,Ni,-37350,400,8272,5,11513,400,76959903,429,1
789,,19,48,29,77,Cu,-48862.828,1.211,8411.2501,0.0157,9926.375,2.3148,76947543.6,1.3,0
790,,17,47,30,77,Zn,-58789.203,1.973,8530.0037,0.0256,7203.1495,3.1237,76936887.2,2.117,0
791,,15,46,31,77,Ga,-65992.352,2.422,8613.3907,0.0315,5220.5176,2.4225,76929154.3,2.6,0
792,,13,45,32,77,Ge,-71212.87,0.053,8671.0293,0.0007,2703.4642,1.6926,76923549.84,0.056,0
793,,11,44,33,77,As,-73916.334,1.692,8695.9789,0.022,683.1627,1.692,76920647.56,1.816,0
794,,9,43,34,77,Se,-74599.497,0.062,8694.6908,0.0008,-1364.6792,2.8099,76919914.15,0.067,0
795,,7,42,35,77,Br,-73234.818,2.811,8666.8073,0.0365,-3065.3663,3.4244,76921379.19,3.017,0
796,,5,41,36,77,Kr,-70169.451,1.956,8616.837,0.0254,-5338.9516,2.351,76924670,2.1,0
797,,3,40,37,77,Rb,-64830.5,1.304,8537.3396,0.0169,-7027.0566,8.0244,76930401.6,1.4,0
798,,1,39,38,77,Sr,-57803.443,7.918,8435.9188,0.1028,-11365,203,76937945.45,8.5,0
799,,-1,38,39,77,Y,-46439,203,8278,3,-14839,448,76950146,218,1
800,,-3,37,40,77,Zr,-31600,400,8075,5,,,76966076,429,1
801,0,24,51,27,78,Co,-15320,700,7997,9,19560,806,77983553,751,1
802,,22,50,28,78,Ni,-34880,400,8238,5,9910,400,77962555,429,1
803,,20,49,29,78,Cu,-44789.474,13.332,8354.6695,0.1709,12693.768,13.4727,77951916.52,14.312,0
804,,18,48,30,78,Zn,-57483.242,1.944,8507.38,0.0249,6220.8433,2.2088,77938289.2,2.086,0
805,,16,47,31,78,Ga,-63704.085,1.051,8577.1043,0.0135,8157.9729,3.6884,77931610.85,1.127,0
806,,14,46,32,78,Ge,-71862.058,3.536,8671.6636,0.0453,954.9114,10.3987,77922852.91,3.795,0
807,,12,45,33,78,As,-72816.97,9.779,8673.876,0.1254,4208.9819,9.7801,77921827.77,10.498,0
808,,10,44,34,78,Se,-77025.952,0.179,8717.8072,0.0023,-3573.7836,3.575,77917309.24,0.191,0
809,,8,43,35,78,Br,-73452.168,3.58,8661.9594,0.0459,726.1153,3.5845,77921145.86,3.842,0
810,,6,42,36,78,Kr,-74178.283,0.307,8661.2385,0.0039,-7242.856,3.252,77920366.34,0.329,0
811,,4,41,37,78,Rb,-66935.427,3.237,8558.3512,0.0415,-3761.4779,8.1248,77928141.87,3.475,0
812,,2,40,38,78,Sr,-63173.949,7.452,8500.0971,0.0955,-11001,298,77932179.98,8,0
813,,0,39,39,78,Y,-52173,298,8349,4,-11323,499,77943990,320,1
814,,-2,38,40,78,Zr,-40850,400,8194,5,,,77956146,429,1
815,0,23,51,28,79,Ni,-28160,500,8150,6,14248,511,78969769,537,1
816,,21,50,29,79,Cu,-42408.039,104.979,8320.938,1.3289,11024.2629,105.003,78954473.1,112.7,0
817,,19,49,30,79,Zn,-53432.302,2.225,8450.5825,0.0282,9116.0536,2.5295,78942638.07,2.388,0
818,,17,48,31,79,Ga,-62548.355,1.208,8556.0725,0.0153,6978.8242,37.1467,78932851.58,1.296,0
