0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
356,,12,28,16,44,S,-9204.236,5.216,7996.0154,0.1186,11274.7373,85.7253,43990118.85,5.6,0
357,,10,27,17,44,Cl,-20478.973,85.566,8234.4788,1.9447,12194.2869,85.5811,43978014.92,91.859,0
358,,8,26,18,44,Ar,-32673.26,1.584,8493.8411,0.036,3108.2375,1.6381,43964923.81,1.7,0
359,,6,25,19,44,K,-35781.498,0.419,8546.7023,0.0095,5687.2319,0.5303,43961586.98,0.45,0
360,,4,24,20,44,Ca,-41468.73,0.325,8658.1769,0.0074,-3652.6948,1.7565,43955481.49,0.348,0
361,,2,23,21,44,Sc,-37816.035,1.756,8557.3805,0.0399,-267.4488,1.8899,43959402.82,1.884,0
362,,0,22,22,44,Ti,-37548.586,0.7,8533.5215,0.0159,-13740.5071,7.2986,43959689.94,0.751,0
363,,-2,21,23,44,V,-23808.079,7.265,8203.4567,0.1651,-10386.1805,51.7447,43974440.98,7.799,0
364,,-4,20,24,44,Cr,-13421.899,51.232,7949.6265,1.1644,-20882,304,43985591,55,0
365,,-6,19,25,44,Mn,7460,300,7457,7,,,44008009,322,1
366,0,17,31,14,45,Si,37090,600,7004,13,21130,781,45039818,644,1
367,,15,30,15,45,P,15960,500,7456,11,19301,583,45017134,537,1
368,,13,29,16,45,S,-3340,300,7867,7,14922,329,44996414,322,1
369,,11,28,17,45,Cl,-18262.544,136.163,8181.5991,3.0259,11508.2568,136.1643,44980394.35,146.177,0
370,,9,27,18,45,Ar,-29770.801,0.512,8419.9526,0.0114,6844.8422,0.7311,44968039.73,0.55,0
371,,7,26,19,45,K,-36615.643,0.522,8554.6747,0.0116,4196.5868,0.6369,44960691.49,0.56,0
372,,5,25,20,45,Ca,-40812.23,0.365,8630.5467,0.0081,260.091,0.7377,44956186.27,0.392,0
373,,3,24,21,45,Sc,-41072.321,0.663,8618.941,0.0147,-2062.0551,0.5086,44955907.05,0.712,0
374,,1,23,22,45,Ti,-39010.266,0.836,8555.7321,0.0186,-7123.8247,0.2142,44958120.76,0.897,0
375,,-1,22,23,45,V,-31886.441,0.863,8380.0394,0.0192,-12371.64,35.4073,44965768.5,0.926,0
376,,-3,21,24,45,Cr,-19514.801,35.397,8087.7286,0.7866,-14535,302,44979050,38,0
377,,-5,20,25,45,Mn,-4980,300,7747,7,-19388,412,44994654,322,1
378,,-7,19,26,45,Fe,14408,283,7299,6,,,45015467,304,1
379,0,16,31,15,46,P,22840,500,7320,11,22200,640,46024520,537,1
380,,14,30,16,46,S,640,400,7785,9,14375,411,46000687,429,1
381,,12,29,17,46,Cl,-13734.949,97.249,8080.7757,2.1141,16036.3062,97.2766,45985254.93,104.4,0
382,,10,28,18,46,Ar,-29771.255,2.329,8412.3835,0.0506,5642.6746,2.4394,45968039.24,2.5,0
383,,8,27,19,46,K,-35413.929,0.727,8518.0428,0.0158,7725.6802,2.349,45961981.58,0.78,0
384,,6,26,20,46,Ca,-43139.61,2.234,8668.9848,0.0486,-1377.9665,2.3305,45953687.73,2.398,0
385,,4,25,21,46,Sc,-41761.643,0.671,8622.0215,0.0146,2366.626,0.6666,45955167.03,0.72,0
386,,2,24,22,46,Ti,-44128.269,0.09,8656.4623,0.002,-7052.3723,0.0923,45952626.36,0.097,0
387,,0,23,23,46,V,-37075.897,0.134,8486.1423,0.0029,-7604.3264,11.4538,45960197.39,0.143,0
388,,-2,22,24,46,Cr,-29471.57,11.453,8303.8233,0.249,-17053.8226,87.3828,45968360.97,12.295,0
389,,-4,21,25,46,Mn,-12417.748,86.629,7916.0805,1.8832,-13628,312,45986669,93,0
390,,-6,20,26,46,Fe,1210,300,7603,7,,,46001299,322,1
391,0,17,32,15,47,P,28810,600,7209,13,21610,721,47030929,644,1
392,,15,31,16,47,S,7200,400,7652,9,16781,447,47007730,429,1
393,,13,30,17,47,Cl,-9580,200,7992,4,15787,200,46989715,215,1
394,,11,29,18,47,Ar,-25367.274,1.211,8311.425,0.0258,10344.7078,1.849,46972767.11,1.3,0
