N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
1, 0, 1, n, 8071.31714, 0.00046, 0.0, 0.0, 0
0, 1, 1, H, 7288.97059, 0.00009, 0.0, 0.0, 0
1, 1, 2, H, 13135.72174, 0.00011, 1112.283, 0.000, 0
2, 1, 3, H, 14949.80611, 0.00221, 2827.266, 0.001, 0
1, 2, 3, He, 14931.21551, 0.00233, 2572.681, 0.001, 0
0, 3, 3, Li, 28667, 2000, -2267, 667, 1
3, 1, 4, H, 24621.123, 100.000, 1720.450, 25.000, 0
2, 2, 4, He, 2424.91561, 0.00006, 7073.915, 0.000, 0
1, 3, 4, Li, 25323.186, 212.132, 1153.761, 53.033, 0
4, 1, 5, H, 32892.440, 89.443, 1336.360, 17.889, 0
3, 2, 5, He, 11231.233, 20.000, 5512.132, 4.000, 0
2, 3, 5, Li, 11678.886, 50.000, 5266.132, 10.000, 0
1, 4, 5, Be, 37139, 2003, 18, 401, 1
5, 1, 6, H, 41875.717, 254.127, 961.640, 42.354, 0
4, 2, 6, He, 17592.095, 0.053, 4878.519, 0.009, 0
3, 3, 6, Li, 14086.87893, 0.00144, 5332.331, 0.000, 0
2, 4, 6, Be, 18375.034, 5.448, 4487.247, 0.908, 0
1, 5, 6, B, 47320, 2003, -467, 334, 1
6, 1, 7, H, 49135, 1004, 940, 143, 1
5, 2, 7, He, 26073.126, 7.559, 4123.057, 1.080, 0
4, 3, 7, Li, 14907.10520, 0.00423, 5606.439, 0.001, 0
3, 4, 7, Be, 15768.999, 0.071, 5371.548, 0.010, 0
2, 5, 7, B, 27676.550, 25.150, 3558.705, 3.593, 0
6, 2, 8, He, 31609.681, 0.089, 3924.520, 0.011, 0
5, 3, 8, Li, 20945.804, 0.047, 5159.712, 0.006, 0
4, 4, 8, Be, 4941.671, 0.035, 7062.435, 0.004, 0
3, 5, 8, B, 22921.577, 1.000, 4717.153, 0.125, 0
2, 6, 8, C, 35064.269, 18.243, 3101.524, 2.280, 0
7, 2, 9, He, 40935.896, 46.816, 3349.029, 5.202, 0
6, 3, 9, Li, 24954.902, 0.186, 5037.768, 0.021, 0
5, 4, 9, Be, 11348.453, 0.077, 6462.668, 0.009, 0
4, 5, 9, B, 12416.488, 0.903, 6257.070, 0.100, 0
3, 6, 9, C, 28910.970, 2.137, 4337.423, 0.237, 0
8, 2, 10, He, 49172.316, 100.000, 2997.616, 10.000, 0
7, 3, 10, Li, 33052.624, 12.721, 4531.351, 1.272, 0
6, 4, 10, Be, 12607.488, 0.081, 6497.630, 0.008, 0
5, 5, 10, B, 12050.690, 0.384, 6475.075, 0.038, 0
4, 6, 10, C, 15698.755, 0.390, 6032.034, 0.039, 0
3, 7, 10, N, 38800.107, 400.000, 3643.664, 40.000, 0
