N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
8, 3, 11, Li, 40728.254, 0.615, 4155.381, 0.056, 0
7, 4, 11, Be, 20177.167, 0.238, 5952.540, 0.022, 0
6, 5, 11, B, 8667.883, 0.416, 6927.716, 0.038, 0
5, 6, 11, C, 10650.295, 0.950, 6676.374, 0.086, 0
4, 7, 11, N, 24303.642, 46.155, 5364.038, 4.196, 0
9, 3, 12, Li, 48919.571, 15.013, 3799.100, 1.251, 0
8, 4, 12, Be, 25077.759, 1.909, 5720.722, 0.159, 0
7, 5, 12, B, 13369.416, 1.322, 6631.221, 0.110, 0
6, 6, 12, C, 0.0, 0.0, 7680.144, 0.000, 0
5, 7, 12, N, 17338.072, 1.000, 6170.109, 0.083, 0
4, 8, 12, O, 31914.696, 24.003, 4890.195, 2.000, 0
10, 3, 13, Li, 58340.888, 350.001, 3403.015, 26.923, 0
9, 4, 13, Be, 33659.076, 10.180, 5241.435, 0.783, 0
8, 5, 13, B, 16562.119, 1.083, 6496.406, 0.083, 0
7, 6, 13, C, 3125.00875, 0.00021, 7469.849, 0.000, 0
6, 7, 13, N, 5345.481, 0.270, 7238.863, 0.021, 0
5, 8, 13, O, 23115.439, 9.526, 5811.762, 0.733, 0
10, 4, 14, Be, 39954.498, 132.245, 4993.897, 9.446, 0
9, 5, 14, B, 23663.685, 21.213, 6101.644, 1.515, 0
8, 6, 14, C, 3019.89278, 0.00376, 7520.319, 0.000, 0
7, 7, 14, N, 2863.41669, 0.00019, 7475.614, 0.000, 0
6, 8, 14, O, 8007.457, 0.110, 7052.301, 0.008, 0
5, 9, 14, F, 31964.410, 41.119, 5285.208, 2.937, 0
11, 4, 15, Be, 49760, 401, 4545, 27, 1
10, 5, 15, B, 28957.988, 21.043, 5880.002, 1.403, 0
9, 6, 15, C, 9873.144, 0.800, 7100.169, 0.053, 0
8, 7, 15, N, 101.43866, 0.00060, 7699.460, 0.000, 0
7, 8, 15, O, 2855.605, 0.491, 7463.692, 0.033, 0
6, 9, 15, F, 16806.810, 62.396, 6481.455, 4.160, 0
12, 4, 16, Be, 57447.132, 165.797, 4285.285, 10.362, 0
11, 5, 16, B, 37112.271, 24.577, 5507.317, 1.536, 0
10, 6, 16, C, 13694.128, 3.578, 6922.054, 0.224, 0
9, 7, 16, N, 5683.907, 2.301, 7373.796, 0.144, 0
8, 8, 16, O, -4737.00137, 0.00016, 7976.206, 0.000, 0
7, 9, 16, F, 10680.254, 8.321, 6963.731, 0.520, 0
6, 10, 16, Ne, 23986.154, 20.480, 6083.216, 1.280, 0
12, 5, 17, B, 43770.816, 170.873, 5266.461, 10.051, 0
11, 6, 17, C, 21030.778, 17.365, 6558.090, 1.021, 0
10, 7, 17, N, 7870.075, 15.000, 7286.229, 0.882, 0
9, 8, 17, O, -808.76361, 0.00064, 7750.728, 0.000, 0
8, 9, 17, F, 1951.701, 0.248, 7542.328, 0.015, 0
7, 10, 17, Ne, 16500.451, 0.354, 6640.499, 0.021, 0
13, 5, 18, B, 51847.133, 170.947, 4973.602, 9.497, 0
12, 6, 18, C, 24918.124, 30.000, 6426.195, 1.667, 0
11, 7, 18, N, 13113.168, 18.570, 7038.562, 1.032, 0
10, 8, 18, O, -782.81558, 0.00071, 7767.097, 0.000, 0
9, 9, 18, F, 873.113, 0.463, 7631.638, 0.026, 0
8, 10, 18, Ne, 5317.623, 0.364, 7341.257, 0.020, 0
7, 11, 18, Na, 25036.931, 112.476, 6202.276, 6.249, 0
14, 5, 19, B, 58777, 401, 4772, 21, 1
13, 6, 19, C, 32412.612, 98.389, 6118.333, 5.178, 0
12, 7, 19, N, 15855.521, 16.404, 6948.583, 0.863, 0
11, 8, 19, O, 3332.858, 2.637, 7566.494, 0.139, 0
10, 9, 19, F, -1487.44434, 0.00086, 7779.018, 0.000, 0
9, 10, 19, Ne, 1752.054, 0.160, 7567.342, 0.008, 0
8, 11, 19, Na, 12929.391, 10.535, 6937.885, 0.554, 0
7, 12, 19, Mg, 31828.392, 50.001, 5902.025, 2.632, 0
15, 5, 20, B, 67133, 699, 4519, 35, 1
14, 6, 20, C, 37557.610, 239.161, 5958.733, 11.958, 0
13, 7, 20, N, 21765.110, 55.590, 6709.240, 2.779, 0
12, 8, 20, O, 3796.168, 0.885, 7568.570, 0.044, 0
11, 9, 20, F, -17.463, 0.030, 7720.134, 0.002, 0
10, 10, 20, Ne, -7041.93055, 0.00157, 8032.240, 0.000, 0
9, 11, 20, Na, 6850.604, 1.114, 7298.496, 0.056, 0
8, 12, 20, Mg, 17558.667, 27.000, 6723.976, 1.350, 0
16, 5, 21, B, 75721, 904, 4279, 43, 1
15, 6, 21, C, 45643, 401, 5674, 19, 1
14, 7, 21, N, 25251.164, 95.045, 6608.099, 4.526, 0
13, 8, 21, O, 8061.907, 12.000, 7389.380, 0.571, 0
12, 9, 21, F, -47.609, 1.800, 7738.293, 0.086, 0
11, 10, 21, Ne, -5731.776, 0.038, 7971.713, 0.002, 0
10, 11, 21, Na, -2184.637, 0.276, 7765.547, 0.013, 0
9, 12, 21, Mg, 10913.515, 16.415, 7104.571, 0.782, 0
8, 13, 21, Al, 26990, 401, 6302, 19, 1
16, 6, 22, C, 53590.244, 246.572, 5422.030, 11.208, 0
15, 7, 22, N, 32038.675, 192.213, 6366.085, 8.737, 0
14, 8, 22, O, 9283.322, 56.921, 7364.858, 2.587, 0
13, 9, 22, F, 2793.377, 12.399, 7624.295, 0.564, 0
12, 10, 22, Ne, -8024.714, 0.018, 8080.465, 0.001, 0
11, 11, 22, Na, -5181.518, 0.171, 7915.667, 0.008, 0
10, 12, 22, Mg, -399.939, 0.313, 7662.762, 0.014, 0
9, 13, 22, Al, 18201, 401, 6782, 18, 1
8, 14, 22, Si, 33338, 503, 6058, 23, 1
17, 6, 23, C, 64171, 997, 5077, 43, 1
16, 7, 23, N, 38322, 298, 6167, 13, 1
15, 8, 23, O, 14620.657, 90.010, 7163.516, 3.913, 0
14, 9, 23, F, 3313.042, 49.970, 7621.136, 2.173, 0
13, 10, 23, Ne, -5154.044, 0.104, 7955.255, 0.005, 0
12, 11, 23, Na, -9529.85249, 0.00181, 8111.493, 0.000, 0
11, 12, 23, Mg, -5473.264, 0.687, 7901.104, 0.030, 0
10, 13, 23, Al, 6748.070, 0.345, 7335.727, 0.015, 0
9, 14, 23, Si, 23697, 503, 6565, 22, 1
17, 7, 24, N, 46938, 401, 5887, 17, 1
16, 8, 24, O, 18500.402, 109.916, 7039.685, 4.580, 0
15, 9, 24, F, 7559.527, 72.282, 7462.957, 3.012, 0
14, 10, 24, Ne, -5951.641, 0.513, 7993.324, 0.021, 0
13, 11, 24, Na, -8417.958, 0.036, 8063.490, 0.002, 0
12, 12, 24, Mg, -13933.569, 0.013, 8260.709, 0.001, 0
11, 13, 24, Al, -47.614, 1.104, 7649.530, 0.046, 0
10, 14, 24, Si, 10744.353, 19.472, 7167.267, 0.811, 0
9, 15, 24, P, 33320, 503, 6194, 21, 1
18, 7, 25, N, 55983, 503, 5613, 20, 1
17, 8, 25, O, 27347.719, 110.935, 6727.057, 4.437, 0
16, 9, 25, F, 11363.509, 75.472, 7335.132, 3.019, 0
15, 10, 25, Ne, -2059.806, 44.721, 7840.771, 1.789, 0
14, 11, 25, Na, -9357.817, 1.200, 8101.397, 0.048, 0
13, 12, 25, Mg, -13192.771, 0.047, 8223.502, 0.002, 0
12, 13, 25, Al, -8916.165, 0.473, 8021.144, 0.019, 0
11, 14, 25, Si, 3827.331, 10.000, 7480.110, 0.400, 0
10, 15, 25, P, 19738, 401, 6812, 16, 1
18, 8, 26, O, 34733.037, 155.504, 6494.709, 5.981, 0
17, 9, 26, F, 18665.061, 77.280, 7082.618, 2.972, 0
16, 10, 26, Ne, 479.445, 18.186, 7751.974, 0.699, 0
15, 11, 26, Na, -6860.780, 3.502, 8004.201, 0.135, 0
14, 12, 26, Mg, -16214.546, 0.030, 8333.870, 0.001, 0
13, 13, 26, Al, -12210.112, 0.064, 8149.764, 0.002, 0
12, 14, 26, Si, -7140.977, 0.107, 7924.707, 0.004, 0
11, 15, 26, P, 10973, 196, 7198, 8, 1
10, 16, 26, S, 27079, 596, 6548, 23, 1
19, 8, 27, O, 44451, 503, 6193, 19, 1
18, 9, 27, F, 24629.633, 190.025, 6898.326, 7.038, 0
17, 10, 27, Ne, 7035.824, 65.205, 7520.973, 2.415, 0
16, 11, 27, Na, -5517.676, 3.727, 7956.942, 0.138, 0
15, 12, 27, Mg, -14586.614, 0.050, 8263.853, 0.002, 0
14, 13, 27, Al, -17196.747, 0.104, 8331.548, 0.004, 0
13, 14, 27, Si, -12384.389, 0.142, 8124.337, 0.005, 0
12, 15, 27, P, -722.461, 26.340, 7663.438, 0.976, 0
11, 16, 27, S, 17028, 401, 6977, 15, 1
20, 8, 28, O, 52080, 699, 5988, 25, 1
19, 9, 28, F, 32920.950, 196.493, 6644.100, 7.018, 0
18, 10, 28, Ne, 11291.569, 95.825, 7388.637, 3.422, 0
17, 11, 28, Na, -988.315, 10.246, 7799.264, 0.366, 0
16, 12, 28, Mg, -15018.730, 2.004, 8272.409, 0.072, 0
15, 13, 28, Al, -16850.530, 0.121, 8309.889, 0.004, 0
14, 14, 28, Si, -21492.79459, 0.00041, 8447.744, 0.000, 0
13, 15, 28, P, -7147.740, 1.152, 7907.479, 0.041, 0
12, 16, 28, S, 4073.205, 160.000, 7478.790, 5.714, 0
11, 17, 28, Cl, 27516, 596, 6614, 21, 1
20, 9, 29, F, 39626, 503, 6462, 17, 1
19, 10, 29, Ne, 18399.801, 99.670, 7167.067, 3.437, 0
18, 11, 29, Na, 2679.976, 7.383, 7682.152, 0.255, 0
17, 12, 29, Mg, -10602.829, 11.400, 8113.202, 0.393, 0
16, 13, 29, Al, -18204.662, 0.931, 8348.357, 0.032, 0
15, 14, 29, Si, -21895.07867, 0.00049, 8448.635, 0.000, 0
14, 15, 29, P, -16952.451, 0.563, 8251.222, 0.019, 0
13, 16, 29, S, -3156.408, 50.000, 7748.519, 1.724, 0
12, 17, 29, Cl, 13767, 401, 7138, 14, 1
21, 9, 30, F, 48112, 596, 6233, 20, 1
20, 10, 30, Ne, 23039.573, 280.380, 7042.549, 9.346, 0
19, 11, 30, Na, 8474.670, 4.727, 7501.968, 0.158, 0
18, 12, 30, Mg, -8883.727, 3.447, 8054.503, 0.115, 0
17, 13, 30, Al, -15872.452, 14.045, 8261.382, 0.468, 0
16, 14, 30, Si, -24432.961, 0.022, 8520.654, 0.001, 0
15, 15, 30, P, -20200.608, 0.312, 8353.497, 0.010, 0
14, 16, 30, S, -14059.007, 0.369, 8122.699, 0.012, 0
13, 17, 30, Cl, 4443, 196, 7480, 7, 1
12, 18, 30, Ar, 21490, 503, 6886, 17, 1
22, 9, 31, F, 55618, 525, 6050, 17, 1
21, 10, 31, Ne, 30820.342, 1619.868, 6824.743, 52.254, 0
20, 11, 31, Na, 12260.935, 23.287, 7398.196, 0.751, 0
19, 12, 31, Mg, -3122.337, 3.074, 7869.194, 0.099, 0
18, 13, 31, Al, -14954.976, 20.343, 8225.655, 0.656, 0
17, 14, 31, Si, -22949.036, 0.043, 8458.291, 0.001, 0
16, 15, 31, P, -24440.54111, 0.00065, 8481.167, 0.000, 0
15, 16, 31, S, -19042.525, 0.229, 8281.800, 0.007, 0
14, 17, 31, Cl, -7066.124, 50.000, 7870.228, 1.613, 0
13, 18, 31, Ar, 11294, 206, 7253, 7, 1
22, 10, 32, Ne, 36999, 503, 6671, 16, 1
21, 11, 32, Na, 18809.658, 120.163, 7214.584, 3.755, 0
20, 12, 32, Mg, -828.807, 3.167, 7803.837, 0.099, 0
19, 13, 32, Al, -11098.528, 12.109, 8100.318, 0.378, 0
18, 14, 32, Si, -24077.686, 0.298, 8481.468, 0.009, 0
17, 15, 32, P, -24304.874, 0.040, 8464.120, 0.001, 0
16, 16, 32, S, -26015.53353, 0.00132, 8493.129, 0.000, 0
15, 17, 32, Cl, -13334.674, 0.562, 8072.404, 0.018, 0
14, 18, 32, Ar, -2200.351, 1.770, 7700.008, 0.055, 0
13, 19, 32, K, 21098, 503, 6947, 16, 1
23, 10, 33, Ne, 45997, 596, 6440, 18, 1
22, 11, 33, Na, 23967, 596, 7084, 18, 1
21, 12, 33, Mg, 4962.204, 2.888, 7636.458, 0.088, 0
20, 13, 33, Al, -8468.233, 75.547, 8019.733, 2.289, 0
19, 14, 33, Si, -20514.326, 0.699, 8361.059, 0.021, 0
18, 15, 33, P, -26337.346, 1.090, 8513.806, 0.033, 0
17, 16, 33, S, -26585.85432, 0.00135, 8497.630, 0.000, 0
16, 17, 33, Cl, -21003.337, 0.391, 8304.755, 0.012, 0
15, 18, 33, Ar, -9384.293, 0.401, 7928.955, 0.012, 0
14, 19, 33, K, 7042, 196, 7407, 6, 1
24, 10, 34, Ne, 52842, 513, 6287, 15, 1
23, 11, 34, Na, 31289, 503, 6898, 15, 1
22, 12, 34, Mg, 8323.347, 28.876, 7550.390, 0.849, 0
21, 13, 34, Al, -3068.901, 68.963, 7862.446, 2.028, 0
20, 14, 34, Si, -19956.729, 14.118, 8336.137, 0.415, 0
19, 15, 34, P, -24548.698, 0.810, 8448.185, 0.024, 0
18, 16, 34, S, -29931.693, 0.045, 8583.498, 0.001, 0
17, 17, 34, Cl, -24440.087, 0.049, 8398.970, 0.001, 0
16, 18, 34, Ar, -18378.293, 0.078, 8197.672, 0.002, 0
15, 19, 34, K, -1220, 298, 7670, 9, 1
14, 20, 34, Ca, 13851, 298, 7204, 9, 1
24, 11, 35, Na, 37840, 586, 6744, 17, 1
23, 12, 35, Mg, 15639.784, 179.778, 7356.233, 5.137, 0
22, 13, 35, Al, -219.833, 69.862, 7787.012, 1.996, 0
21, 14, 35, Si, -14360.399, 38.412, 8168.676, 1.097, 0
20, 15, 35, P, -24857.791, 1.866, 8446.248, 0.053, 0
19, 16, 35, S, -28846.217, 0.040, 8537.851, 0.001, 0
18, 17, 35, Cl, -29013.540, 0.035, 8520.279, 0.001, 0
17, 18, 35, Ar, -23047.410, 0.746, 8327.465, 0.021, 0
16, 19, 35, K, -11172.891, 0.512, 7965.840, 0.015, 0
15, 20, 35, Ca, 4788, 196, 7487, 6, 1
25, 11, 36, Na, 45912, 594, 6557, 17, 1
24, 12, 36, Mg, 20380.157, 460.158, 7244.419, 12.782, 0
23, 13, 36, Al, 5950.384, 99.670, 7623.515, 2.769, 0
22, 14, 36, Si, -12393.323, 71.320, 8111.330, 1.981, 0
21, 15, 36, P, -20251.028, 13.114, 8307.868, 0.364, 0
20, 16, 36, S, -30664.124, 0.188, 8575.389, 0.005, 0
19, 17, 36, Cl, -29522.017, 0.036, 8521.932, 0.001, 0
18, 18, 36, Ar, -30231.540, 0.027, 8519.909, 0.001, 0
17, 19, 36, K, -17417.065, 0.341, 8142.219, 0.009, 0
16, 20, 36, Ca, -6451.150, 40.000, 7815.879, 1.111, 0
15, 21, 36, Sc, 15351, 298, 7189, 8, 1
26, 11, 37, Na, 53143, 605, 6402, 16, 1
25, 12, 37, Mg, 28289, 503, 7053, 14, 1
24, 13, 37, Al, 9809.563, 120.163, 7531.315, 3.248, 0
23, 14, 37, Si, -6594.287, 82.973, 7953.518, 2.243, 0
22, 15, 37, P, -18996.105, 37.948, 8267.558, 1.026, 0
21, 16, 37, S, -26896.410, 0.198, 8459.935, 0.005, 0
20, 17, 37, Cl, -31761.521, 0.052, 8570.280, 0.001, 0
19, 18, 37, Ar, -30947.648, 0.207, 8527.139, 0.006, 0
18, 19, 37, K, -24800.199, 0.094, 8339.847, 0.003, 0
17, 20, 37, Ca, -13136.066, 0.634, 8003.456, 0.017, 0
16, 21, 37, Sc, 3484, 298, 7533, 8, 1
26, 12, 38, Mg, 34074, 503, 6928, 13, 1
25, 13, 38, Al, 16209.859, 249.640, 7377.097, 6.569, 0
24, 14, 38, Si, -4170.299, 69.862, 7892.829, 1.838, 0
23, 15, 38, P, -14669.556, 86.780, 8148.537, 2.284, 0
22, 16, 38, S, -26861.187, 7.172, 8448.781, 0.189, 0
21, 17, 38, Cl, -29798.087, 0.098, 8505.480, 0.003, 0
20, 18, 38, Ar, -34714.820, 0.195, 8614.280, 0.005, 0
19, 19, 38, K, -28800.754, 0.195, 8438.058, 0.005, 0
18, 20, 38, Ca, -22058.500, 0.194, 8240.043, 0.005, 0
17, 21, 38, Sc, -4546, 196, 7759, 5, 1
16, 22, 38, Ti, 10666, 298, 7338, 8, 1
27, 12, 39, Mg, 42275, 513, 6747, 13, 1
26, 13, 39, Al, 20996, 503, 7272, 13, 1
25, 14, 39, Si, 2320.352, 90.355, 7730.979, 2.317, 0
24, 15, 39, P, -12829.273, 91.423, 8099.370, 2.344, 0
23, 16, 39, S, -23162.346, 50.000, 8344.261, 1.282, 0
22, 17, 39, Cl, -29800.192, 1.732, 8494.402, 0.044, 0
21, 18, 39, Ar, -33242.190, 5.000, 8562.598, 0.128, 0
20, 19, 39, K, -33807.19022, 0.00458, 8557.025, 0.000, 0
19, 20, 39, Ca, -27282.702, 0.596, 8369.670, 0.015, 0
18, 21, 39, Sc, -14172.710, 24.000, 8013.456, 0.615, 0
17, 22, 39, Ti, 2198, 205, 7574, 5, 1
28, 12, 40, Mg, 48605, 596, 6621, 15, 1
27, 13, 40, Al, 27973, 503, 7118, 13, 1
26, 14, 40, Si, 5429.679, 230.079, 7661.754, 5.752, 0
25, 15, 40, P, -8074.425, 111.199, 7979.798, 2.780, 0
24, 16, 40, S, -22837.846, 3.982, 8329.325, 0.100, 0
23, 17, 40, Cl, -27557.813, 32.066, 8427.765, 0.802, 0
22, 18, 40, Ar, -35039.89464, 0.00224, 8595.259, 0.000, 0
21, 19, 40, K, -33535.492, 0.056, 8538.090, 0.001, 0
20, 20, 40, Ca, -34846.386, 0.021, 8551.304, 0.001, 0
19, 21, 40, Sc, -20523.336, 2.828, 8173.669, 0.071, 0
18, 22, 40, Ti, -8850.386, 160.000, 7862.286, 4.000, 0
17, 23, 40, V, 11886, 401, 7324, 10, 1
28, 13, 41, Al, 33888, 596, 6997, 15, 1
27, 14, 41, Si, 12119.668, 369.803, 7508.573, 9.020, 0
26, 15, 41, P, -4979.767, 80.108, 7906.551, 1.954, 0
25, 16, 41, S, -19008.577, 4.099, 8229.635, 0.100, 0
24, 17, 41, Cl, -27307.189, 68.723, 8412.959, 1.676, 0
23, 18, 41, Ar, -33067.505, 0.347, 8534.372, 0.008, 0
22, 19, 41, K, -35559.54329, 0.00380, 8576.072, 0.000, 0
21, 20, 41, Ca, -35137.887, 0.138, 8546.706, 0.003, 0
20, 21, 41, Sc, -28642.411, 0.083, 8369.198, 0.002, 0
19, 22, 41, Ti, -15697.537, 27.945, 8034.388, 0.682, 0
18, 23, 41, V, 196, 298, 7628, 7, 1
29, 13, 42, Al, 40837, 596, 6857, 14, 1
28, 14, 42, Si, 16562, 503, 7416, 12, 1
27, 15, 42, P, 1009.739, 209.586, 7767.866, 4.990, 0
26, 16, 42, S, -17637.746, 2.794, 8193.227, 0.067, 0
25, 17, 42, Cl, -24912.990, 143.760, 8347.819, 3.423, 0
24, 18, 42, Ar, -34422.675, 5.775, 8555.613, 0.138, 0
23, 19, 42, K, -35022.026, 0.106, 8551.256, 0.003, 0
22, 20, 42, Ca, -38547.243, 0.149, 8616.563, 0.004, 0
21, 21, 42, Sc, -32121.143, 0.169, 8444.933, 0.004, 0
20, 22, 42, Ti, -25104.663, 0.277, 8259.247, 0.007, 0
19, 23, 42, V, -7620, 298, 7824, 7, 1
18, 24, 42, Cr, 6241, 401, 7476, 10, 1
30, 13, 43, Al, 47944, 699, 6720, 16, 1
29, 14, 43, Si, 23101, 596, 7279, 14, 1
28, 15, 43, P, 4679.826, 369.803, 7689.572, 8.600, 0
27, 16, 43, S, -12195.459, 4.970, 8063.827, 0.116, 0
26, 17, 43, Cl, -24322.627, 95.336, 8327.660, 2.217, 0
25, 18, 43, Ar, -32009.808, 5.310, 8488.237, 0.123, 0
24, 19, 43, K, -36575.389, 0.410, 8576.220, 0.010, 0
23, 20, 43, Ca, -38408.815, 0.228, 8600.663, 0.005, 0
22, 21, 43, Sc, -36188.100, 1.863, 8530.825, 0.043, 0
21, 22, 43, Ti, -29321.084, 7.245, 8352.932, 0.168, 0
20, 23, 43, V, -17916.356, 42.849, 8069.512, 0.996, 0
19, 24, 43, Cr, -2301, 401, 7688, 9, 1
30, 14, 44, Si, 28513, 596, 7174, 14, 1
29, 15, 44, P, 10442, 503, 7567, 11, 1
28, 16, 44, S, -9204.234, 5.216, 7996.015, 0.119, 0
27, 17, 44, Cl, -20609.730, 188.380, 8237.450, 4.281, 0
26, 18, 44, Ar, -32673.255, 1.584, 8493.840, 0.036, 0
25, 19, 44, K, -35781.492, 0.419, 8546.701, 0.010, 0
24, 20, 44, Ca, -41468.658, 0.325, 8658.175, 0.007, 0
23, 21, 44, Sc, -37815.978, 1.756, 8557.379, 0.040, 0
22, 22, 44, Ti, -37548.570, 0.700, 8533.520, 0.016, 0
21, 23, 44, V, -24116.380, 181.641, 8210.463, 4.128, 0
20, 24, 44, Cr, -13637, 298, 7955, 7, 1
19, 25, 44, Mn, 6660, 503, 7475, 11, 1
31, 14, 45, Si, 37213, 699, 7001, 16, 1
30, 15, 45, P, 15323, 596, 7470, 13, 1
29, 16, 45, S, -3989.589, 690.237, 7881.807, 15.339, 0
28, 17, 45, Cl, -18359.747, 99.670, 8183.758, 2.215, 0
27, 18, 45, Ar, -29770.796, 0.512, 8419.952, 0.011, 0
26, 19, 45, K, -36615.638, 0.522, 8554.674, 0.012, 0
25, 20, 45, Ca, -40812.152, 0.366, 8630.544, 0.008, 0
24, 21, 45, Sc, -41071.177, 0.721, 8618.915, 0.016, 0
23, 22, 45, Ti, -39009.121, 0.882, 8555.706, 0.020, 0
22, 23, 45, V, -31880.549, 7.981, 8379.908, 0.177, 0
21, 24, 45, Cr, -19514.799, 35.397, 8087.728, 0.787, 0
20, 25, 45, Mn, -5133, 401, 7751, 9, 1
19, 26, 45, Fe, 13431, 401, 7321, 9, 1
31, 15, 46, P, 22784, 699, 7321, 15, 1
30, 16, 46, S, 37, 503, 7798, 11, 1
29, 17, 46, Cl, -13810.330, 160.217, 8082.414, 3.483, 0
28, 18, 46, Ar, -29730.762, 40.687, 8411.502, 0.884, 0
27, 19, 46, K, -35413.924, 0.727, 8518.042, 0.016, 0
26, 20, 46, Ca, -43138.396, 2.261, 8668.958, 0.049, 0
25, 21, 46, Sc, -41760.499, 0.728, 8621.996, 0.016, 0
24, 22, 46, Ti, -44126.996, 0.327, 8656.434, 0.007, 0
23, 23, 46, V, -37074.602, 0.332, 8486.113, 0.007, 0
22, 24, 46, Cr, -29473.531, 19.994, 8303.865, 0.435, 0
21, 25, 46, Mn, -12957, 401, 7928, 9, 1
20, 26, 46, Fe, 587, 503, 7616, 11, 1
32, 15, 47, P, 29240, 801, 7200, 17, 1
31, 16, 47, S, 7405, 503, 7647, 11, 1
30, 17, 47, Cl, -10097, 401, 8003, 9, 1
29, 18, 47, Ar, -25211.011, 89.752, 8308.100, 1.910, 0
28, 19, 47, K, -35711.976, 1.397, 8514.879, 0.030, 0
27, 20, 47, Ca, -42343.453, 2.248, 8639.328, 0.048, 0
26, 21, 47, Sc, -44335.630, 1.962, 8665.069, 0.042, 0
25, 22, 47, Ti, -44936.400, 0.357, 8661.206, 0.008, 0
24, 23, 47, V, -42005.801, 0.333, 8582.207, 0.007, 0
23, 24, 47, Cr, -34560.887, 6.956, 8407.159, 0.148, 0
22, 25, 47, Mn, -22565.442, 31.671, 8135.291, 0.674, 0
21, 26, 47, Fe, -7592, 503, 7800, 11, 1
20, 27, 47, Co, 9846, 801, 7412, 17, 1
32, 16, 48, S, 12761, 596, 7545, 12, 1
31, 17, 48, Cl, -4061, 503, 7879, 10, 1
30, 18, 48, Ar, -22440, 298, 8245, 6, 1
29, 19, 48, K, -32284.477, 0.773, 8434.232, 0.016, 0
28, 20, 48, Ca, -44224.759, 0.120, 8666.689, 0.003, 0
27, 21, 48, Sc, -44503.420, 4.953, 8656.195, 0.103, 0
26, 22, 48, Ti, -48491.734, 0.358, 8722.986, 0.007, 0
25, 23, 48, V, -44476.768, 1.027, 8623.042, 0.021, 0
24, 24, 48, Cr, -42821.654, 7.363, 8572.262, 0.153, 0
23, 25, 48, Mn, -29323.431, 167.669, 8274.750, 3.493, 0
22, 26, 48, Fe, -18416, 401, 8031, 8, 1
21, 27, 48, Co, 866, 801, 7613, 17, 1
20, 28, 48, Ni, 16477, 506, 7272, 11, 1
33, 16, 49, S, 21203, 667, 7383, 14, 1
32, 17, 49, Cl, 1146, 596, 7777, 12, 1
31, 18, 49, Ar, -16860, 401, 8128, 8, 1
30, 19, 49, K, -29611.491, 0.801, 8372.274, 0.016, 0
