N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
89, 67, 156, Ho, -66134.262, 400.057, 1272842.953, 400.057, 0
88, 68, 156, Er, -64464.262, 406.135, 1270390.599, 406.135, 0
87, 69, 156, Tm, -56885.322, 58.489, 1262029.305, 58.489, 0
86, 70, 156, Yb, -53312.361, 32.779, 1257673.990, 32.779, 0
85, 71, 156, Lu, -43866, 302, 1247446, 302, 1
84, 72, 156, Hf, -37961, 356, 1240758, 356, 1
83, 73, 156, Ta, -26371, 596, 1228386, 596, 1
97, 60, 157, Nd, -56057, 596, 1276314, 596, 1
96, 61, 157, Pm, -62224, 298, 1281698, 298, 1
95, 62, 157, Sm, -66771.230, 200.099, 1285463.014, 200.099, 0
94, 63, 157, Eu, -69471.230, 6.287, 1287380.660, 6.291, 0
93, 64, 157, Gd, -70833.773, 3.003, 1287960.848, 3.011, 0
92, 65, 157, Tb, -70773.720, 3.015, 1287118.442, 3.023, 0
91, 66, 157, Dy, -69432.321, 6.822, 1284994.689, 6.825, 0
90, 67, 157, Ho, -66892.321, 50.463, 1281672.335, 50.464, 0
89, 68, 157, Er, -63422.321, 94.586, 1277419.981, 94.586, 0
88, 69, 157, Tm, -58942.321, 137.646, 1272157.627, 137.647, 0
87, 70, 157, Yb, -53411.869, 51.244, 1265844.822, 51.244, 0
86, 71, 157, Lu, -46479.226, 21.902, 1258129.824, 21.903, 0
85, 72, 157, Hf, -39004, 302, 1249873, 302, 1
84, 73, 157, Ta, -29673, 598, 1239759, 598, 1
97, 61, 158, Pm, -58973, 401, 1286518, 401, 1
96, 62, 158, Sm, -65270, 205, 1292033, 205, 1
95, 63, 158, Eu, -67214.698, 76.881, 1293195.451, 76.881, 0
94, 64, 158, Gd, -70699.780, 3.004, 1295898.179, 3.012, 0
93, 65, 158, Tb, -69479.803, 3.049, 1293895.848, 3.057, 0
92, 66, 158, Dy, -70416.556, 3.683, 1294050.247, 3.690, 0
91, 67, 158, Ho, -66179.989, 26.176, 1289031.326, 26.177, 0
90, 68, 158, Er, -64396.710, 40.367, 1286465.694, 40.367, 0
89, 69, 158, Tm, -57866.710, 107.840, 1279153.340, 107.840, 0
88, 70, 158, Yb, -56020.976, 9.944, 1276525.251, 9.946, 0
87, 71, 158, Lu, -48027.502, 122.596, 1267749.423, 122.596, 0
86, 72, 158, Hf, -42925.432, 101.349, 1261864.999, 101.349, 0
85, 73, 158, Ta, -31328, 505, 1249485, 505, 1
84, 74, 158, W, -24276, 699, 1241651, 699, 1
98, 61, 159, Pm, -56542, 494, 1292158, 494, 1
97, 62, 159, Sm, -62224, 298, 1297058, 298, 1
96, 63, 159, Eu, -66057.251, 8.049, 1300109.327, 8.052, 0
95, 64, 159, Gd, -68571.743, 3.007, 1301841.465, 3.015, 0
94, 65, 159, Tb, -69542.331, 3.007, 1302029.699, 3.015, 0
93, 66, 159, Dy, -69176.724, 3.169, 1300881.738, 3.176, 0
92, 67, 159, Ho, -67339.124, 4.152, 1298261.784, 4.158, 0
91, 68, 159, Er, -64570.624, 4.609, 1294710.930, 4.614, 0
90, 69, 159, Tm, -60720.624, 100.106, 1290078.576, 100.106, 0
89, 70, 159, Yb, -55670.624, 223.654, 1284246.222, 223.654, 0
88, 71, 159, Lu, -49682.692, 51.863, 1277475.937, 51.863, 0
87, 72, 159, Hf, -43004, 302, 1270015, 302, 1
86, 73, 159, Ta, -34517, 366, 1260746, 366, 1
85, 74, 159, W, -25821, 598, 1251267, 598, 1
98, 62, 160, Sm, -60286, 401, 1303192, 401, 1
97, 63, 160, Eu, -63844.109, 166.438, 1305967.508, 166.438, 0
96, 64, 160, Gd, -67951.801, 3.046, 1309292.846, 3.054, 0
95, 65, 160, Tb, -67846.186, 3.020, 1308404.878, 3.028, 0
94, 66, 160, Dy, -69681.537, 3.058, 1309457.874, 3.066, 0
93, 67, 160, Ho, -66390.037, 11.039, 1305384.020, 11.041, 0
92, 68, 160, Er, -66062.363, 51.138, 1304273.993, 51.139, 0
91, 69, 160, Tm, -60172.363, 112.317, 1297601.639, 112.317, 0
90, 70, 160, Yb, -58162, 206, 1294809, 206, 1
89, 71, 160, Lu, -50876, 226, 1286740, 226, 1
88, 72, 160, Hf, -45984.784, 32.914, 1281066.997, 32.915, 0
87, 73, 160, Ta, -35896, 306, 1270195, 306, 1
86, 74, 160, W, -29464, 356, 1262982, 356, 1
85, 75, 160, Re, -17247, 596, 1249982, 596, 1
99, 62, 161, Sm, -56802, 503, 1307780, 503, 1
98, 63, 161, Eu, -61777, 298, 1311971, 298, 1
97, 64, 161, Gd, -65515.878, 3.206, 1314928.246, 3.214, 0
96, 65, 161, Tb, -67471.478, 3.058, 1316101.492, 3.066, 0
95, 66, 161, Dy, -68064.578, 3.058, 1315912.238, 3.066, 0
94, 67, 161, Ho, -67205.799, 3.610, 1314271.105, 3.617, 0
93, 68, 161, Er, -65203.131, 9.516, 1311486.084, 9.518, 0
92, 69, 161, Tm, -62039.131, 89.947, 1307539.730, 89.948, 0
91, 70, 161, Yb, -58189.131, 265.689, 1302907.376, 265.689, 0
90, 71, 161, Lu, -52889.131, 283.885, 1296825.022, 283.885, 0
89, 72, 161, Hf, -46265.260, 71.596, 1289418.797, 71.596, 0
88, 73, 161, Ta, -38774.415, 54.586, 1281145.598, 54.587, 0
87, 74, 161, W, -30656, 306, 1272245, 306, 1
86, 75, 161, Re, -20809, 600, 1261615, 600, 1
99, 63, 162, Eu, -58647, 401, 1316913, 401, 1
98, 64, 162, Gd, -64290.476, 4.870, 1321774.167, 4.875, 0
97, 65, 162, Tb, -65684.417, 36.492, 1322385.755, 36.493, 0
96, 66, 162, Dy, -68190.202, 3.058, 1324109.186, 3.066, 0
95, 67, 162, Ho, -66050.040, 4.246, 1321186.670, 4.252, 0
94, 68, 162, Er, -66345.538, 3.760, 1320699.814, 3.766, 0
93, 69, 162, Tm, -61536.147, 37.874, 1315108.069, 37.874, 0
92, 70, 162, Yb, -59848, 205, 1312638, 205, 1
91, 71, 162, Lu, -52915, 225, 1304922, 225, 1
90, 72, 162, Hf, -49179.079, 11.462, 1300403.939, 11.464, 0
89, 73, 162, Ta, -40595.511, 132.400, 1291038.017, 132.400, 0
88, 74, 162, W, -34826.071, 101.391, 1284486.223, 101.391, 0
87, 75, 162, Re, -22629, 508, 1271506, 508, 1
86, 76, 162, Os, -15072, 700, 1263168, 700, 1
100, 63, 163, Eu, -56532, 503, 1322870, 503, 1
99, 64, 163, Gd, -61488, 298, 1327043, 298, 1
98, 65, 163, Tb, -64604.686, 5.036, 1329377.346, 5.041, 0
97, 66, 163, Dy, -66389.810, 3.058, 1330380.116, 3.067, 0
96, 67, 163, Ho, -66387.234, 3.058, 1329595.186, 3.066, 0
95, 68, 163, Er, -65177.174, 5.460, 1327602.772, 5.465, 0
94, 69, 163, Tm, -62738.174, 6.230, 1324381.419, 6.234, 0
93, 70, 163, Yb, -59368.174, 100.194, 1320229.065, 100.194, 0
92, 71, 163, Lu, -54768.174, 223.694, 1314846.711, 223.694, 0
91, 72, 163, Hf, -49318, 319, 1308614, 319, 1
90, 73, 163, Ta, -42508.758, 72.040, 1301022.587, 72.040, 0
89, 74, 163, W, -35059, 306, 1292791, 306, 1
88, 75, 163, Re, -26025, 370, 1282974, 370, 1
87, 76, 163, Os, -16722, 600, 1272889, 600, 1
100, 64, 164, Gd, -59746, 401, 1333372, 401, 1
99, 65, 164, Tb, -62086.569, 100.047, 1334930.552, 100.047, 0
98, 66, 164, Dy, -65976.569, 3.059, 1338038.198, 3.067, 0
