N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
1, 0, 1, n, 8071.31710, 0.00053, 0.0, 0.0, 0
0, 1, 1, H, 7288.97050, 0.00011, 0.0, 0.0, 0
1, 1, 2, H, 13135.72158, 0.00035, 1112.283, 0.000, 0
2, 1, 3, H, 14949.80600, 0.00231, 2827.266, 0.001, 0
1, 2, 3, He, 14931.21475, 0.00242, 2572.681, 0.001, 0
0, 3, 3, Li, 28667, 2000, -2267, 667, 1
3, 1, 4, H, 25901.518, 103.286, 1400.351, 25.821, 0
2, 2, 4, He, 2424.91565, 0.00006, 7073.915, 0.000, 0
1, 3, 4, Li, 25323.185, 212.132, 1153.761, 53.033, 0
4, 1, 5, H, 32892.440, 100.000, 1336.360, 20.000, 0
3, 2, 5, He, 11386.233, 50.000, 5481.132, 10.000, 0
2, 3, 5, Li, 11678.886, 50.000, 5266.132, 10.000, 0
1, 4, 5, Be, 37996, 3996, -154, 799, 1
5, 1, 6, H, 41863.757, 264.906, 963.633, 44.151, 0
4, 2, 6, He, 17595.106, 0.755, 4878.017, 0.126, 0
3, 3, 6, Li, 14086.793, 0.015, 5332.345, 0.002, 0
2, 4, 6, Be, 18374.947, 5.448, 4487.262, 0.908, 0
1, 5, 6, B, 43603, 699, 152, 116, 1
6, 1, 7, H, 49135, 1005, 940, 144, 1
5, 2, 7, He, 26101.038, 16.658, 4119.070, 2.380, 0
4, 3, 7, Li, 14908.141, 0.079, 5606.291, 0.011, 0
3, 4, 7, Be, 15770.034, 0.106, 5371.400, 0.015, 0
2, 5, 7, B, 27868.346, 70.712, 3531.306, 10.102, 0
6, 2, 8, He, 31598.044, 6.868, 3925.975, 0.859, 0
5, 3, 8, Li, 20946.844, 0.095, 5159.582, 0.012, 0
4, 4, 8, Be, 4941.672, 0.035, 7062.435, 0.004, 0
3, 5, 8, B, 22921.490, 1.000, 4717.164, 0.125, 0
2, 6, 8, C, 35094.060, 23.068, 3097.800, 2.883, 0
7, 2, 9, He, 40939.429, 29.418, 3348.637, 3.269, 0
6, 3, 9, Li, 24954.264, 1.935, 5037.839, 0.215, 0
5, 4, 9, Be, 11347.648, 0.398, 6462.758, 0.044, 0
4, 5, 9, B, 12415.681, 0.983, 6257.160, 0.109, 0
3, 6, 9, C, 28910.491, 2.138, 4337.476, 0.238, 0
8, 2, 10, He, 48809.203, 70.001, 3033.927, 7.000, 0
7, 3, 10, Li, 33050.581, 15.124, 4531.555, 1.512, 0
6, 4, 10, Be, 12606.670, 0.401, 6497.711, 0.040, 0
5, 5, 10, B, 12050.731, 0.386, 6475.071, 0.039, 0
4, 6, 10, C, 15698.682, 0.403, 6032.041, 0.040, 0
3, 7, 10, N, 38800.148, 400.000, 3643.660, 40.000, 0
8, 3, 11, Li, 40797.310, 19.295, 4149.104, 1.754, 0
7, 4, 11, Be, 20174.064, 6.356, 5952.822, 0.578, 0
6, 5, 11, B, 8667.931, 0.418, 6927.711, 0.038, 0
5, 6, 11, C, 10650.342, 0.950, 6676.370, 0.086, 0
4, 7, 11, N, 24303.569, 46.156, 5364.045, 4.196, 0
9, 3, 12, Li, 50096, 997, 3701, 83, 1
8, 4, 12, Be, 25076.506, 15.005, 5720.826, 1.250, 0
7, 5, 12, B, 13368.899, 1.400, 6631.264, 0.117, 0
6, 6, 12, C, 0.0, 0.0, 7680.144, 0.000, 0
5, 7, 12, N, 17338.082, 1.000, 6170.108, 0.083, 0
4, 8, 12, O, 32047.954, 18.466, 4879.090, 1.539, 0
9, 4, 13, Be, 33247.823, 71.590, 5273.070, 5.507, 0
8, 5, 13, B, 16562.166, 1.084, 6496.402, 0.083, 0
7, 6, 13, C, 3125.01129, 0.00091, 7469.849, 0.000, 0
6, 7, 13, N, 5345.481, 0.270, 7238.863, 0.021, 0
5, 8, 13, O, 23112.428, 9.526, 5811.994, 0.733, 0
