N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
10, 4, 14, Be, 39954.498, 132.245, 4993.897, 9.446, 0
9, 5, 14, B, 23663.683, 21.213, 6101.645, 1.515, 0
8, 6, 14, C, 3019.89305, 0.00380, 7520.319, 0.000, 0
7, 7, 14, N, 2863.41704, 0.00058, 7475.614, 0.000, 0
6, 8, 14, O, 8007.356, 0.109, 7052.308, 0.008, 0
5, 9, 14, F, 32658, 401, 5236, 29, 1
11, 4, 15, Be, 49798, 503, 4543, 34, 1
10, 5, 15, B, 28972.278, 22.369, 5879.050, 1.491, 0
9, 6, 15, C, 9873.144, 0.800, 7100.169, 0.053, 0
8, 7, 15, N, 101.43805, 0.00070, 7699.459, 0.000, 0
7, 8, 15, O, 2855.605, 0.491, 7463.692, 0.033, 0
6, 9, 15, F, 16775.372, 133.793, 6483.551, 8.920, 0
12, 4, 16, Be, 57678, 503, 4271, 31, 1
11, 5, 16, B, 37081.686, 60.000, 5509.228, 3.750, 0
10, 6, 16, C, 13694.129, 3.578, 6922.054, 0.224, 0
9, 7, 16, N, 5683.658, 2.622, 7373.812, 0.164, 0
8, 8, 16, O, -4737.00141, 0.00016, 7976.206, 0.000, 0
7, 9, 16, F, 10680.254, 8.321, 6963.731, 0.520, 0
6, 10, 16, Ne, 23996.462, 20.480, 6082.572, 1.280, 0
12, 5, 17, B, 43770.816, 170.873, 5266.461, 10.051, 0
11, 6, 17, C, 21038.832, 17.376, 6557.616, 1.022, 0
10, 7, 17, N, 7871.368, 15.013, 7286.153, 0.883, 0
9, 8, 17, O, -808.813, 0.110, 7750.731, 0.006, 0
8, 9, 17, F, 1951.701, 0.248, 7542.328, 0.015, 0
7, 10, 17, Ne, 16460.901, 26.953, 6642.825, 1.585, 0
13, 5, 18, B, 52322, 801, 4947, 45, 1
12, 6, 18, C, 24926.178, 30.006, 6425.747, 1.667, 0
11, 7, 18, N, 13114.466, 18.580, 7038.490, 1.032, 0
10, 8, 18, O, -781.522, 0.621, 7767.025, 0.034, 0
9, 9, 18, F, 873.701, 0.534, 7631.605, 0.030, 0
8, 10, 18, Ne, 5317.166, 0.280, 7341.282, 0.016, 0
7, 11, 18, Na, 24189.968, 50.301, 6249.329, 2.794, 0
14, 5, 19, B, 59364, 401, 4741, 21, 1
13, 6, 19, C, 32420.666, 98.391, 6117.909, 5.178, 0
12, 7, 19, N, 15862.129, 16.415, 6948.235, 0.864, 0
11, 8, 19, O, 3334.870, 2.825, 7566.389, 0.149, 0
10, 9, 19, F, -1487.386, 0.069, 7779.015, 0.004, 0
9, 10, 19, Ne, 1751.440, 0.286, 7567.375, 0.015, 0
8, 11, 19, Na, 12926.808, 12.000, 6938.021, 0.632, 0
7, 12, 19, Mg, 33040.092, 251.503, 5838.251, 13.237, 0
14, 6, 20, C, 37557.610, 239.161, 5958.733, 11.958, 0
13, 7, 20, N, 21765.110, 55.590, 6709.240, 2.779, 0
12, 8, 20, O, 3797.462, 1.081, 7568.505, 0.054, 0
11, 9, 20, F, -17.404, 0.075, 7720.131, 0.004, 0
10, 10, 20, Ne, -7041.93131, 0.00179, 8032.240, 0.000, 0
9, 11, 20, Na, 6847.719, 6.662, 7298.641, 0.333, 0
8, 12, 20, Mg, 17570.348, 27.000, 6723.392, 1.350, 0
15, 6, 21, C, 45960, 503, 5659, 24, 1
14, 7, 21, N, 25251.164, 95.045, 6608.099, 4.526, 0
13, 8, 21, O, 8062.906, 12.016, 7389.332, 0.572, 0
12, 9, 21, F, -47.551, 1.801, 7738.290, 0.086, 0
11, 10, 21, Ne, -5731.776, 0.039, 7971.713, 0.002, 0
10, 11, 21, Na, -2184.161, 0.700, 7765.524, 0.033, 0
9, 12, 21, Mg, 10910.506, 16.415, 7104.714, 0.782, 0
8, 13, 21, Al, 26119, 298, 6343, 14, 1
16, 6, 22, C, 53281, 904, 5436, 41, 1
15, 7, 22, N, 32038.675, 192.213, 6366.085, 8.737, 0
14, 8, 22, O, 9284.152, 56.924, 7364.821, 2.587, 0
13, 9, 22, F, 2793.378, 12.399, 7624.294, 0.564, 0
12, 10, 22, Ne, -8024.715, 0.018, 8080.465, 0.001, 0
11, 11, 22, Na, -5182.436, 0.415, 7915.709, 0.019, 0
10, 12, 22, Mg, -396.963, 1.342, 7662.626, 0.061, 0
9, 13, 22, Al, 18183, 93, 6783, 4, 1
8, 14, 22, Si, 32164, 200, 6111, 9, 1
16, 7, 23, N, 38396, 298, 6164, 13, 1
15, 8, 23, O, 14612.960, 121.867, 7163.850, 5.299, 0
14, 9, 23, F, 3329.747, 79.541, 7620.410, 3.458, 0
13, 10, 23, Ne, -5154.045, 0.104, 7955.255, 0.005, 0
12, 11, 23, Na, -9529.85358, 0.00273, 8111.493, 0.000, 0
11, 12, 23, Mg, -5473.766, 1.286, 7901.126, 0.056, 0
10, 13, 23, Al, 6769.570, 18.648, 7334.792, 0.811, 0
9, 14, 23, Si, 23772, 196, 6562, 9, 1
17, 7, 24, N, 47543, 401, 5862, 17, 1
16, 8, 24, O, 19070.400, 236.242, 7015.935, 9.843, 0
15, 9, 24, F, 7559.527, 72.282, 7462.957, 3.012, 0
14, 10, 24, Ne, -5951.521, 0.392, 7993.319, 0.016, 0
13, 11, 24, Na, -8418.114, 0.076, 8063.496, 0.003, 0
12, 12, 24, Mg, -13933.567, 0.013, 8260.709, 0.001, 0
11, 13, 24, Al, -56.946, 2.782, 7649.919, 0.116, 0
10, 14, 24, Si, 10754.673, 19.472, 7166.837, 0.811, 0
9, 15, 24, P, 31997, 503, 6249, 21, 1
18, 7, 25, N, 56504, 503, 5592, 20, 1
17, 8, 25, O, 27442, 257, 6723, 10, 1
16, 9, 25, F, 11272.706, 98.238, 7338.764, 3.930, 0
15, 10, 25, Ne, -2108.075, 25.643, 7842.701, 1.026, 0
14, 11, 25, Na, -9357.818, 1.200, 8101.397, 0.048, 0
13, 12, 25, Mg, -13192.826, 0.032, 8223.504, 0.001, 0
12, 13, 25, Al, -8916.172, 0.475, 8021.144, 0.019, 0
11, 14, 25, Si, 3824.318, 10.000, 7480.230, 0.400, 0
10, 15, 25, P, 18872, 196, 6847, 8, 1
18, 8, 26, O, 35713, 257, 6457, 10, 1
17, 9, 26, F, 18271.772, 166.585, 7097.744, 6.407, 0
16, 10, 26, Ne, 429.611, 26.774, 7753.891, 1.030, 0
15, 11, 26, Na, -6862.316, 5.832, 8004.260, 0.224, 0
14, 12, 26, Mg, -16214.582, 0.027, 8333.872, 0.001, 0
13, 13, 26, Al, -12210.309, 0.060, 8149.771, 0.002, 0
12, 14, 26, Si, -7144.632, 3.000, 7924.847, 0.115, 0
11, 15, 26, P, 10973, 196, 7198, 8, 1
10, 16, 26, S, 25970, 298, 6591, 11, 1
19, 8, 27, O, 44954, 503, 6175, 19, 1
18, 9, 27, F, 24926.860, 376.688, 6887.318, 13.951, 0
17, 10, 27, Ne, 7069.949, 110.384, 7519.709, 4.088, 0
16, 11, 27, Na, -5517.436, 3.503, 7956.933, 0.130, 0
15, 12, 27, Mg, -14586.651, 0.049, 8263.854, 0.002, 0
14, 13, 27, Al, -17196.658, 0.116, 8331.545, 0.004, 0
13, 14, 27, Si, -12384.301, 0.151, 8124.334, 0.006, 0
12, 15, 27, P, -717.030, 26.341, 7663.237, 0.976, 0
11, 16, 27, S, 17543, 202, 6958, 7, 1
20, 8, 28, O, 53850, 596, 5925, 21, 1
19, 9, 28, F, 33226, 512, 6633, 18, 1
18, 10, 28, Ne, 11244.601, 146.679, 7390.315, 5.239, 0
17, 11, 28, Na, -989.247, 13.041, 7799.297, 0.466, 0
16, 12, 28, Mg, -15018.641, 2.004, 8272.406, 0.072, 0
15, 13, 28, Al, -16850.441, 0.131, 8309.886, 0.005, 0
14, 14, 28, Si, -21492.79678, 0.00181, 8447.744, 0.000, 0
13, 15, 28, P, -7158.753, 3.320, 7907.873, 0.119, 0
12, 16, 28, S, 4073.203, 160.000, 7478.790, 5.714, 0
11, 17, 28, Cl, 26557, 503, 6648, 18, 1
20, 9, 29, F, 40296, 578, 6439, 20, 1
19, 10, 29, Ne, 18057.881, 268.671, 7178.857, 9.265, 0
18, 11, 29, Na, 2665.004, 13.041, 7682.668, 0.450, 0
17, 12, 29, Mg, -10619.032, 13.972, 8113.761, 0.482, 0
16, 13, 29, Al, -18215.322, 1.206, 8348.725, 0.042, 0
15, 14, 29, Si, -21895.046, 0.021, 8448.634, 0.001, 0
14, 15, 29, P, -16952.626, 0.600, 8251.228, 0.021, 0
13, 16, 29, S, -3159.582, 50.000, 7748.629, 1.724, 0
12, 17, 29, Cl, 13143, 196, 7159, 7, 1
21, 9, 30, F, 48903, 596, 6206, 20, 1
20, 10, 30, Ne, 23102.025, 570.734, 7040.467, 19.024, 0
19, 11, 30, Na, 8361.090, 25.150, 7505.754, 0.838, 0
18, 12, 30, Mg, -8910.672, 8.383, 8055.401, 0.279, 0
17, 13, 30, Al, -15872.419, 14.045, 8261.381, 0.468, 0
16, 14, 30, Si, -24432.928, 0.030, 8520.653, 0.001, 0
15, 15, 30, P, -20200.575, 0.313, 8353.496, 0.010, 0
14, 16, 30, S, -14062.532, 3.003, 8122.817, 0.100, 0
13, 17, 30, Cl, 4443, 196, 7480, 7, 1
12, 18, 30, Ar, 20083, 298, 6932, 10, 1
22, 9, 31, F, 56289, 597, 6028, 19, 1
21, 10, 31, Ne, 30842, 904, 6824, 29, 1
20, 11, 31, Na, 12654.768, 211.321, 7385.492, 6.817, 0
19, 12, 31, Mg, -3217.380, 12.109, 7872.260, 0.391, 0
18, 13, 31, Al, -14953.628, 20.343, 8225.611, 0.656, 0
17, 14, 31, Si, -22949.006, 0.039, 8458.290, 0.001, 0
16, 15, 31, P, -24440.885, 0.183, 8481.178, 0.006, 0
15, 16, 31, S, -19044.648, 1.506, 8281.869, 0.049, 0
14, 17, 31, Cl, -7067.165, 50.000, 7870.261, 1.613, 0
13, 18, 31, Ar, 11293, 206, 7253, 7, 1
22, 10, 32, Ne, 37278, 801, 6662, 25, 1
21, 11, 32, Na, 19064.478, 356.178, 7206.621, 11.131, 0
20, 12, 32, Mg, -954.781, 17.698, 7807.774, 0.553, 0
19, 13, 32, Al, -11061.966, 85.949, 8099.175, 2.686, 0
18, 14, 32, Si, -24080.907, 0.050, 8481.569, 0.002, 0
17, 15, 32, P, -24305.218, 0.187, 8464.130, 0.006, 0
16, 16, 32, S, -26015.697, 0.138, 8493.134, 0.004, 0
15, 17, 32, Cl, -13329.771, 6.593, 8072.251, 0.206, 0
14, 18, 32, Ar, -2200.204, 1.780, 7700.003, 0.056, 0
13, 19, 32, K, 20418, 503, 6969, 16, 1
23, 10, 33, Ne, 45997, 801, 6440, 24, 1
22, 11, 33, Na, 24889.293, 874.999, 7056.314, 26.515, 0
21, 12, 33, Mg, 4894.070, 19.561, 7638.522, 0.593, 0
20, 13, 33, Al, -8529.377, 72.745, 8021.586, 2.204, 0
19, 14, 33, Si, -20492.662, 15.791, 8360.402, 0.479, 0
18, 15, 33, P, -26337.486, 1.098, 8513.811, 0.033, 0
17, 16, 33, S, -26585.994, 0.136, 8497.634, 0.004, 0
16, 17, 33, Cl, -21003.432, 0.458, 8304.758, 0.014, 0
15, 18, 33, Ar, -9384.141, 0.443, 7928.950, 0.013, 0
14, 19, 33, K, 6763, 196, 7416, 6, 1
24, 10, 34, Ne, 53121, 807, 6279, 24, 1
23, 11, 34, Na, 32761, 898, 6855, 26, 1
22, 12, 34, Mg, 8808.603, 231.396, 7536.118, 6.806, 0
21, 13, 34, Al, -2932.495, 113.038, 7858.434, 3.325, 0
20, 14, 34, Si, -19956.770, 14.118, 8336.138, 0.415, 0
19, 15, 34, P, -24557.669, 5.004, 8448.449, 0.147, 0
18, 16, 34, S, -29931.788, 0.108, 8583.501, 0.003, 0
17, 17, 34, Cl, -24439.776, 0.179, 8398.961, 0.005, 0
16, 18, 34, Ar, -18377.217, 0.386, 8197.640, 0.011, 0
15, 19, 34, K, -1481, 298, 7678, 9, 1
14, 20, 34, Ca, 13153, 298, 7224, 9, 1
24, 11, 35, Na, 39582, 946, 6695, 27, 1
23, 12, 35, Mg, 16152, 401, 7342, 11, 1
22, 13, 35, Al, -130.190, 175.106, 7784.451, 5.003, 0
21, 14, 35, Si, -14360.307, 38.412, 8168.673, 1.097, 0
20, 15, 35, P, -24857.740, 1.867, 8446.247, 0.053, 0
19, 16, 35, S, -28846.356, 0.100, 8537.855, 0.003, 0
18, 17, 35, Cl, -29013.540, 0.038, 8520.278, 0.001, 0
17, 18, 35, Ar, -23047.411, 0.747, 8327.465, 0.021, 0
16, 19, 35, K, -11168.900, 20.001, 7965.726, 0.571, 0
15, 20, 35, Ca, 4602, 196, 7493, 6, 1
25, 11, 36, Na, 47953, 952, 6500, 26, 1
24, 12, 36, Mg, 21424, 503, 7215, 14, 1
23, 13, 36, Al, 5781.974, 214.687, 7628.193, 5.964, 0
22, 14, 36, Si, -12482.507, 123.455, 8113.807, 3.429, 0
21, 15, 36, P, -20250.977, 13.114, 8307.866, 0.364, 0
20, 16, 36, S, -30664.075, 0.189, 8575.387, 0.005, 0
19, 17, 36, Cl, -29521.857, 0.072, 8521.927, 0.002, 0
18, 18, 36, Ar, -30231.540, 0.027, 8519.909, 0.001, 0
17, 19, 36, K, -17426.171, 7.781, 8142.472, 0.216, 0
16, 20, 36, Ca, -6439.359, 40.001, 7815.551, 1.111, 0
15, 21, 36, Sc, 13898, 503, 7229, 14, 1
26, 11, 37, Na, 55275, 958, 6345, 26, 1
25, 12, 37, Mg, 29249, 904, 7027, 24, 1
24, 13, 37, Al, 9946.326, 330.967, 7527.619, 8.945, 0
23, 14, 37, Si, -6579.998, 168.659, 7953.132, 4.558, 0
22, 15, 37, P, -18994.145, 37.948, 8267.505, 1.026, 0
21, 16, 37, S, -26896.360, 0.199, 8459.934, 0.005, 0
20, 17, 37, Cl, -31761.532, 0.047, 8570.280, 0.001, 0
19, 18, 37, Ar, -30947.659, 0.205, 8527.139, 0.006, 0
18, 19, 37, K, -24800.199, 0.094, 8339.847, 0.003, 0
17, 20, 37, Ca, -13161.760, 22.362, 8004.150, 0.604, 0
16, 21, 37, Sc, 2841, 298, 7550, 8, 1
26, 12, 38, Mg, 34996, 503, 6903, 13, 1
25, 13, 38, Al, 16050.594, 730.517, 7381.288, 19.224, 0
24, 14, 38, Si, -4067.274, 137.469, 7890.118, 3.618, 0
23, 15, 38, P, -14757.820, 103.385, 8150.860, 2.721, 0
22, 16, 38, S, -26861.197, 7.172, 8448.782, 0.189, 0
21, 17, 38, Cl, -29798.097, 0.096, 8505.480, 0.003, 0
20, 18, 38, Ar, -34714.551, 0.337, 8614.273, 0.009, 0
19, 19, 38, K, -28800.691, 0.447, 8438.057, 0.012, 0
18, 20, 38, Ca, -22059.220, 4.557, 8240.062, 0.120, 0
17, 21, 38, Sc, -4937, 298, 7769, 8, 1
16, 22, 38, Ti, 9101, 252, 7379, 7, 1
27, 12, 39, Mg, 43568, 513, 6713, 13, 1
26, 13, 39, Al, 21396.417, 1471.761, 7261.909, 37.737, 0
25, 14, 39, Si, 1928.205, 338.015, 7741.034, 8.667, 0
24, 15, 39, P, -12873.735, 103.412, 8100.510, 2.652, 0
23, 16, 39, S, -23162.245, 50.000, 8344.258, 1.282, 0
22, 17, 39, Cl, -29800.203, 1.732, 8494.402, 0.044, 0
21, 18, 39, Ar, -33242.011, 5.004, 8562.593, 0.128, 0
20, 19, 39, K, -33807.011, 0.190, 8557.020, 0.005, 0
19, 20, 39, Ca, -27274.400, 1.862, 8369.457, 0.048, 0
18, 21, 39, Sc, -14168.021, 24.001, 8013.336, 0.615, 0
17, 22, 39, Ti, 1500, 205, 7592, 5, 1
28, 12, 40, Mg, 50235, 904, 6581, 23, 1
27, 13, 40, Al, 29295, 699, 7085, 17, 1
26, 14, 40, Si, 5467.052, 556.034, 7660.819, 13.901, 0
25, 15, 40, P, -8106.838, 139.101, 7980.608, 3.478, 0
24, 16, 40, S, -22866.568, 141.294, 8330.043, 3.532, 0
23, 17, 40, Cl, -27557.810, 32.066, 8427.765, 0.802, 0
22, 18, 40, Ar, -35039.89602, 0.00268, 8595.259, 0.000, 0
21, 19, 40, K, -33535.205, 0.192, 8538.083, 0.005, 0
20, 20, 40, Ca, -34846.275, 0.209, 8551.301, 0.005, 0
19, 21, 40, Sc, -20523.228, 2.836, 8173.666, 0.071, 0
18, 22, 40, Ti, -8850.275, 160.000, 7862.283, 4.000, 0
17, 23, 40, V, 10330, 503, 7363, 13, 1
28, 13, 41, Al, 35704, 801, 6952, 20, 1
27, 14, 41, Si, 13562.553, 1844.358, 7473.380, 44.984, 0
26, 15, 41, P, -5276.508, 216.230, 7913.788, 5.274, 0
25, 16, 41, S, -19019.105, 118.272, 8229.892, 2.885, 0
24, 17, 41, Cl, -27307.189, 68.723, 8412.958, 1.676, 0
23, 18, 41, Ar, -33067.467, 0.332, 8534.371, 0.008, 0
22, 19, 41, K, -35559.074, 0.194, 8576.061, 0.005, 0
21, 20, 41, Ca, -35137.759, 0.242, 8546.703, 0.006, 0
20, 21, 41, Sc, -28642.392, 0.225, 8369.198, 0.006, 0
19, 22, 41, Ti, -15700, 100, 8034, 2, 1
18, 23, 41, V, -205, 205, 7637, 5, 1
29, 13, 42, Al, 43678, 904, 6789, 22, 1
28, 14, 42, Si, 18434, 503, 7372, 12, 1
27, 15, 42, P, 938.865, 446.839, 7769.554, 10.639, 0
26, 16, 42, S, -17677.503, 124.215, 8194.173, 2.957, 0
25, 17, 42, Cl, -24912.990, 143.760, 8347.819, 3.423, 0
24, 18, 42, Ar, -34422.675, 5.775, 8555.613, 0.138, 0
23, 19, 42, K, -35021.556, 0.221, 8551.245, 0.005, 0
22, 20, 42, Ca, -38547.072, 0.249, 8616.559, 0.006, 0
21, 21, 42, Sc, -32121.239, 0.270, 8444.935, 0.006, 0
20, 22, 42, Ti, -25121.552, 5.452, 8259.649, 0.130, 0
19, 23, 42, V, -8169, 196, 7837, 5, 1
18, 24, 42, Cr, 5990, 298, 7482, 7, 1
29, 14, 43, Si, 26697, 699, 7196, 16, 1
28, 15, 43, P, 5765.948, 968.754, 7664.314, 22.529, 0
27, 16, 43, S, -11965.235, 201.953, 8058.473, 4.697, 0
26, 17, 43, Cl, -24168.168, 157.377, 8324.068, 3.660, 0
25, 18, 43, Ar, -32009.808, 5.310, 8488.237, 0.123, 0
24, 19, 43, K, -36593.239, 8.949, 8576.635, 0.208, 0
23, 20, 43, Ca, -38408.639, 0.301, 8600.659, 0.007, 0
22, 21, 43, Sc, -36187.929, 1.874, 8530.821, 0.044, 0
21, 22, 43, Ti, -29321.103, 6.903, 8352.933, 0.161, 0
20, 23, 43, V, -18024, 233, 8072, 5, 1
19, 24, 43, Cr, -2133, 219, 7684, 5, 1
30, 14, 44, Si, 32844, 801, 7076, 18, 1
29, 15, 44, P, 12100, 699, 7530, 16, 1
28, 16, 44, S, -9116.168, 394.541, 7994.013, 8.967, 0
27, 17, 44, Cl, -20231.052, 108.028, 8228.843, 2.455, 0
26, 18, 44, Ar, -32673.053, 1.595, 8493.836, 0.036, 0
25, 19, 44, K, -35809.606, 35.779, 8547.340, 0.813, 0
24, 20, 44, Ca, -41468.479, 0.376, 8658.170, 0.009, 0
23, 21, 44, Sc, -37816.093, 1.767, 8557.381, 0.040, 0
22, 22, 44, Ti, -37548.459, 0.731, 8533.518, 0.017, 0
21, 23, 44, V, -24116.380, 121.094, 8210.463, 2.752, 0
20, 24, 44, Cr, -13461, 50, 7951, 1, 1
19, 25, 44, Mn, 6399, 503, 7481, 11, 1
30, 15, 45, P, 17903, 801, 7413, 18, 1
29, 16, 45, S, -3252.672, 1742.377, 7865.431, 38.719, 0
28, 17, 45, Cl, -18362.647, 123.756, 8183.823, 2.750, 0
27, 18, 45, Ar, -29770.589, 0.547, 8419.947, 0.012, 0
26, 19, 45, K, -36608.186, 10.256, 8554.508, 0.228, 0
25, 20, 45, Ca, -40811.950, 0.412, 8630.540, 0.009, 0
24, 21, 45, Sc, -41067.792, 0.837, 8618.840, 0.019, 0
23, 22, 45, Ti, -39005.737, 0.980, 8555.631, 0.022, 0
22, 23, 45, V, -31879.629, 17.029, 8379.887, 0.378, 0
21, 24, 45, Cr, -18965.218, 503.007, 8075.515, 11.178, 0
20, 25, 45, Mn, -5114, 298, 7750, 7, 1
19, 26, 45, Fe, 13579, 222, 7318, 5, 1
31, 15, 46, P, 25504, 904, 7262, 20, 1
30, 16, 46, S, 699, 699, 7784, 15, 1
29, 17, 46, Cl, -14708.253, 717.339, 8101.934, 15.594, 0
28, 18, 46, Ar, -29720.127, 40.891, 8411.271, 0.889, 0
27, 19, 46, K, -35418.323, 15.546, 8518.137, 0.338, 0
26, 20, 46, Ca, -43135.077, 2.276, 8668.885, 0.049, 0
25, 21, 46, Sc, -41757.115, 0.844, 8621.922, 0.018, 0
24, 22, 46, Ti, -44123.422, 0.833, 8656.356, 0.018, 0
23, 23, 46, V, -37073.013, 1.027, 8486.079, 0.022, 0
22, 24, 46, Cr, -29473.742, 19.995, 8303.870, 0.435, 0
21, 25, 46, Mn, -12370, 112, 7915, 2, 1
20, 26, 46, Fe, 755, 354, 7613, 8, 1
31, 16, 47, S, 8002, 801, 7635, 17, 1
30, 17, 47, Cl, -10517, 596, 8012, 13, 1
29, 18, 47, Ar, -25907.836, 100.083, 8322.926, 2.129, 0
28, 19, 47, K, -35696.272, 7.963, 8514.544, 0.169, 0
27, 20, 47, Ca, -42340.123, 2.263, 8639.257, 0.048, 0
26, 21, 47, Sc, -44332.121, 2.029, 8664.995, 0.043, 0
25, 22, 47, Ti, -44932.394, 0.822, 8661.121, 0.017, 0
24, 23, 47, V, -42002.051, 0.836, 8582.127, 0.018, 0
23, 24, 47, Cr, -34558.385, 14.036, 8407.106, 0.299, 0
22, 25, 47, Mn, -22263, 158, 8129, 3, 1
21, 26, 47, Fe, -6623, 261, 7779, 6, 1
20, 27, 47, Co, 10703, 503, 7394, 11, 1
32, 16, 48, S, 13199, 904, 7536, 19, 1
31, 17, 48, Cl, -4704, 699, 7892, 15, 1
30, 18, 48, Ar, -23716, 298, 8272, 6, 1
29, 19, 48, K, -32123.935, 24.106, 8430.887, 0.502, 0
28, 20, 48, Ca, -44214.129, 4.082, 8666.467, 0.085, 0
27, 21, 48, Sc, -44496.101, 5.400, 8656.043, 0.113, 0
26, 22, 48, Ti, -48487.727, 0.822, 8722.903, 0.017, 0
25, 23, 48, V, -44475.385, 2.551, 8623.013, 0.053, 0
24, 24, 48, Cr, -42819.180, 7.379, 8572.210, 0.154, 0
23, 25, 48, Mn, -29323.431, 111.779, 8274.750, 2.329, 0
22, 26, 48, Fe, -18160, 70, 8026, 1, 1
21, 27, 48, Co, 1639, 401, 7597, 8, 1
20, 28, 48, Ni, 18397, 503, 7232, 10, 1
33, 16, 49, S, 22001, 952, 7367, 19, 1
32, 17, 49, Cl, 298, 801, 7794, 16, 1
31, 18, 49, Ar, -18146, 503, 8154, 10, 1
30, 19, 49, K, -30319.265, 70.119, 8386.719, 1.431, 0
29, 20, 49, Ca, -41289.265, 4.086, 8594.630, 0.083, 0
28, 21, 49, Sc, -46552.368, 3.997, 8686.074, 0.082, 0
27, 22, 49, Ti, -48558.799, 0.822, 8711.055, 0.017, 0
26, 23, 49, V, -47956.943, 1.161, 8682.806, 0.024, 0
25, 24, 49, Cr, -45330.484, 2.417, 8613.239, 0.049, 0
24, 25, 49, Mn, -37615.586, 24.010, 8439.826, 0.490, 0
23, 26, 49, Fe, -24582, 149, 8158, 3, 1
22, 27, 49, Co, -9576, 261, 7836, 5, 1
21, 28, 49, Ni, 8998, 401, 7441, 8, 1
33, 17, 50, Cl, 7303, 904, 7659, 18, 1
