N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
1, 0, 1, n, 8071.31806, 0.0004, 40.0, 0, 0
0, 1, 1, H, 7288.97106, 40.0000, 130.0, 0, 0
1, 1, 2, H, 13135.72289, 50.0000, 151112.2, 8310, 0
2, 1, 3, H, 14949.81090, 0.0000, 82827.2, 6540, 0
1, 2, 3, He, 14931.21888, 0.0000, 62572.6, 80440, 0
0, 3, 3, Li, 28667, 2000, -2267, 667, 0
3, 1, 4, H, 24621.129, 100.000, 1720.4, 49125, 0
2, 2, 4, He, 2424.91587, 0.0001, 57073.9, 1560, 0
1, 3, 4, Li, 25323.190, 212.132, 1153.7, 60353, 0
4, 1, 5, H, 32892.447, 89.443, 1336.3, 59217, 0
3, 2, 5, He, 11231.234, 20.000, 5512.1, 3254, 0
2, 3, 5, Li, 11678.887, 50.000, 5266.1, 32510, 0
1, 4, 5, Be, 37139, 2003, 18, 401, 0
5, 1, 6, H, 41875.725, 254.127, 961.6, 39542, 0
4, 2, 6, He, 17592.095, 0.053, 4878.5, 1990, 0
3, 3, 6, Li, 14086.88044, 0.0014, 45332.3, 3120, 0
2, 4, 6, Be, 18375.034, 5.448, 4487.2, 4780, 0
1, 5, 6, B, 47320, 2003, -467, 334, 0
6, 1, 7, H, 49135, 1004, 940, 143, 0
5, 2, 7, He, 26073.128, 7.559, 4123.0, 5781, 0
4, 3, 7, Li, 14907.10463, 0.0041, 95606.4, 4010, 0
3, 4, 7, Be, 15768.998, 0.071, 5371.5, 4870, 0
2, 5, 7, B, 27676.553, 25.150, 3558.7, 0553, 0
6, 2, 8, He, 31609.683, 0.089, 3924.5, 2100, 0
5, 3, 8, Li, 20945.805, 0.047, 5159.7, 1240, 0
4, 4, 8, Be, 4941.672, 0.035, 7062.4, 3560, 0
3, 5, 8, B, 22921.569, 1.000, 4717.1, 5510, 0
2, 6, 8, C, 35064.269, 18.243, 3101.5, 2422, 0
7, 2, 9, He, 40935.826, 46.816, 3349.0, 3805, 0
6, 3, 9, Li, 24954.905, 0.186, 5037.7, 6850, 0
5, 4, 9, Be, 11348.451, 0.076, 6462.6, 6930, 0
4, 5, 9, B, 12416.486, 0.903, 6257.0, 7130, 0
3, 6, 9, C, 28910.971, 2.137, 4337.4, 2330, 0
