N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
1, 0, 1, n, 8071.323, 0.002, 0.0, 0.0, 0
0, 1, 1, H, 7288.969, 0.001, 0.0, 0.0, 0
1, 1, 2, H, 13135.720, 0.001, 2224.573, 0.002, 0
2, 1, 3, H, 14949.794, 0.001, 8481.821, 0.004, 0
1, 2, 3, He, 14931.204, 0.001, 7718.058, 0.002, 0
3, 1, 4, H, 25927.784, 109.545, 5575.154, 109.545, 0
2, 2, 4, He, 2424.911, 0.001, 28295.673, 0.005, 0
1, 3, 4, Li, 25320.173, 212.132, 4618.058, 212.132, 0
4, 1, 5, H, 36833.979, 947.692, 2740.282, 947.692, 0
3, 2, 5, He, 11386.234, 50.000, 27405.673, 50.000, 0
2, 3, 5, Li, 11678.880, 50.000, 26330.674, 50.000, 0
1, 4, 5, Be, 37996, 3996, -768, 3996, 1
5, 1, 6, H, 41863.763, 264.906, 5781.820, 264.906, 0
4, 2, 6, He, 17594.123, 1.014, 29269.107, 1.014, 0
3, 3, 6, Li, 14086.312, 0.475, 31994.564, 0.475, 0
2, 4, 6, Be, 18374.465, 5.468, 26924.058, 5.468, 0
5, 2, 7, He, 26110.264, 30.004, 28824.289, 30.004, 0
4, 3, 7, Li, 14907.673, 0.473, 39244.526, 0.473, 0
3, 4, 7, Be, 15769.489, 0.472, 37600.358, 0.472, 0
2, 5, 7, B, 27867.864, 70.712, 24719.628, 70.712, 0
6, 2, 8, He, 31597.983, 7.077, 31407.892, 7.077, 0
5, 3, 8, Li, 20946.195, 0.488, 41277.328, 0.488, 0
4, 4, 8, Be, 4941.662, 0.035, 56499.506, 0.037, 0
3, 5, 8, B, 22921.002, 1.107, 37737.813, 1.107, 0
2, 6, 8, C, 35094.056, 23.068, 24782.406, 23.068, 0
7, 2, 9, He, 40818.362, 62.471, 30258.837, 62.471, 0
6, 3, 9, Li, 24953.903, 1.946, 45340.942, 1.946, 0
5, 4, 9, Be, 11347.584, 0.396, 58164.907, 0.396, 0
4, 5, 9, B, 12415.701, 0.983, 56314.438, 0.983, 0
3, 6, 9, C, 28913.650, 2.178, 39034.135, 2.178, 0
8, 2, 10, He, 48810.011, 70.001, 30338.510, 70.001, 0
7, 3, 10, Li, 33050.226, 15.126, 45315.942, 15.126, 0
6, 4, 10, Be, 12606.577, 0.400, 64977.237, 0.400, 0
5, 5, 10, B, 12050.761, 0.370, 64750.700, 0.370, 0
4, 6, 10, C, 15698.568, 0.381, 60320.539, 0.381, 0
3, 7, 10, N, 39699, 400, 35538, 400, 1
8, 3, 11, Li, 40795.860, 27.101, 45641.631, 27.101, 0
7, 4, 11, Be, 20173.970, 6.356, 65481.167, 6.356, 0
6, 5, 11, B, 8667.984, 0.420, 76204.800, 0.421, 0
5, 6, 11, C, 10650.531, 0.952, 73439.899, 0.952, 0
4, 7, 11, N, 24960.520, 180.000, 58347.557, 180.000, 0
9, 3, 12, Li, 50096, 997, 44413, 997, 1
8, 4, 12, Be, 25076.402, 15.005, 68650.058, 15.005, 0
7, 5, 12, B, 13368.901, 1.400, 79575.205, 1.400, 0
6, 6, 12, C, 0.0, 0.0, 92161.753, 0.014, 0
5, 7, 12, N, 17338.083, 1.000, 74041.317, 1.000, 0
4, 8, 12, O, 32047.838, 18.465, 58549.209, 18.465, 0
9, 4, 13, Be, 33658.445, 502.494, 68139.338, 502.494, 0
8, 5, 13, B, 16562.209, 1.085, 84453.220, 1.085, 0
7, 6, 13, C, 3125.011, 0.001, 97108.065, 0.016, 0
6, 7, 13, N, 5345.456, 0.270, 94105.267, 0.270, 0
5, 8, 13, O, 23110.735, 9.526, 75557.634, 9.526, 0
10, 4, 14, Be, 39882.396, 108.061, 69986.710, 108.062, 0
9, 5, 14, B, 23663.730, 21.213, 85423.022, 21.213, 0
8, 6, 14, C, 3019.892, 0.004, 105284.507, 0.019, 0
7, 7, 14, N, 2863.417, 0.001, 104658.628, 0.016, 0
6, 8, 14, O, 8006.456, 0.075, 98733.236, 0.076, 0
5, 9, 14, F, 33608, 401, 72349, 401, 1
10, 5, 15, B, 28966.936, 22.375, 88191.140, 22.375, 0
9, 6, 15, C, 9873.143, 0.800, 106502.578, 0.800, 0
8, 7, 15, N, 101.438, 0.001, 115491.930, 0.019, 0
7, 8, 15, O, 2855.388, 0.503, 111955.627, 0.503, 0
6, 9, 15, F, 16777.001, 133.793, 97251.660, 133.793, 0
11, 5, 16, B, 37081.686, 60.000, 88147.712, 60.000, 0
10, 6, 16, C, 13694.117, 3.578, 110752.927, 3.578, 0
9, 7, 16, N, 5683.432, 2.622, 117981.259, 2.623, 0
8, 8, 16, O, -4736.998, 0.001, 127619.336, 0.019, 0
7, 9, 16, F, 10680.257, 8.321, 111419.727, 8.321, 0
6, 10, 16, Ne, 23992.401, 20.480, 97325.230, 20.480, 0
12, 5, 17, B, 43716.310, 136.069, 89584.410, 136.069, 0
11, 6, 17, C, 21036.589, 17.383, 111481.778, 17.383, 0
10, 7, 17, N, 7870.819, 15.021, 123865.195, 15.021, 0
9, 8, 17, O, -809.002, 0.207, 131762.662, 0.208, 0
8, 9, 17, F, 1951.701, 0.248, 128219.606, 0.249, 0
7, 10, 17, Ne, 16485.173, 50.000, 112903.780, 50.000, 0
13, 5, 18, B, 52322, 801, 89050, 801, 1
12, 6, 18, C, 24924.036, 30.010, 115665.655, 30.010, 0
11, 7, 18, N, 13117.136, 20.016, 126690.201, 20.016, 0
10, 8, 18, O, -782.064, 0.793, 139807.048, 0.793, 0
9, 9, 18, F, 873.431, 0.593, 137369.199, 0.593, 0
8, 10, 18, Ne, 5306.782, 1.500, 132153.495, 1.500, 0
7, 11, 18, Na, 25318, 401, 111360, 401, 1
14, 5, 19, B, 59364, 401, 90079, 401, 1
13, 6, 19, C, 32833.383, 107.707, 115827.630, 107.707, 0
12, 7, 19, N, 15860.449, 16.423, 132018.211, 16.423, 0
11, 8, 19, O, 3333.565, 3.154, 143762.741, 3.154, 0
10, 9, 19, F, -1487.405, 0.070, 147801.358, 0.074, 0
9, 10, 19, Ne, 1751.059, 0.597, 143780.541, 0.598, 0
8, 11, 19, Na, 12928.622, 12.001, 131820.623, 12.001, 0
14, 6, 20, C, 37560.063, 200.849, 119172.273, 200.849, 0
13, 7, 20, N, 21766.492, 52.596, 134183.490, 52.596, 0
